gene,fc_1
RTCA,0.636851261
CDC14A,0.317709941
RP4-549L20.3,0.206599195
SLC30A7,1.151992345
RP11-421L21.3,0.395222854
RNPC3,1.065539223
SEPT2P1,1
PRMT6,0.163208198
NTNG1,0.004901289
RP11-270C12.3,0.770174648
FAM102B,0.406366277
PRPF38B,0.856001391
STXBP3,0.499499886
GPSM2,0.76239852
RP11-20O24.4,0.448776354
TMEM167B,1.208941138
KIAA1324,41.13921903
SARS,0.769148899
CELSR2,0.141327673
ATXN7L2,0.461814489
CYB561D1,0.6936328
GNAI3,0.870921565
AMPD2,0.751046335
GSTM4,12.07273841
CSF1,0.973617291
AHCYL1,0.88445423
STRIP1,0.855649617
RP4-773N10.4,0.788265926
SLC6A17,39.26236927
RBM15,0.765249471
RP5-1074L1.4,0.884369845
CEPT1,0.638777629
PIFO,0.562340393
ATP5F1,0.623351817
RAP1A,0.98677099
DDX20,0.918149249
CTTNBP2NL,0.639529567
CAPZA1,0.568090121
MOV10,0.519770731
LRIG2,0.652542391
MAGI3,0.319956134
RP11-512F24.1,0.744546089
DCLRE1B,0.214061245
HIPK1,1.027715529
VANGL1,1.194022343
SLC22A15,0.945367293
MAB21L3,15.38344716
ATP1A1,1.582368228
PTGFRN,0.172818971
TTF2,0.301887379
MAN1A2,1.081515349
FAM46C,1.083079066
WDR3,0.429195092
RP11-418J17.1,1.409750139
PHGDH,0.226261024
NBPF8,0.767472256
AC253572.1,1.496762183
NBPF26,1.560684556
LINC00623,0.203695331
SRGAP2C,0.695526274
SRGAP2D,0.416154165
FAM72D,0.254677215
AC241585.2,0.007277553
CH17-373J23.1,0.176285734
GPR89A,0.693971024
POLR3C,0.392996189
NUDT17,0.180851643
GNRHR2,0.542430948
POLR3GL,0.150640383
RP11-458D21.1,0.096166954
NBPF12,1.364562631
RP11-337C18.8,0.484080689
PDIA3P1,0.848919134
CHD1L,0.526150834
BCL9,0.885524685
GPR89B,0.625607404
RP11-94I2.4,2.511716041
ABHD17AP1,1.045243493
AC245100.1,0.049517621
PDE4DIP,3.004835272
NBPF19,0.624652129
HIST2H2BD,0.16847598
RP11-196G18.24,0.351462745
HIST2H2AC,0.707238516
BOLA1,0.190113602
VPS45,0.813042109
PLEKHO1,0.437584436
CIART,0.046661995
MRPS21,0.343792338
PRPF3,0.93499476
RPRD2,0.973194957
TARS2,0.491707825
ADAMTSL4,0.002085838
SETDB1,0.783454294
ANXA9,0.00820323
PRUNE,0.724262007
C1orf56,17.21033478
MLLT11,2.238778895
GABPB2,0.693309999
SCNM1,0.59067249
PIP5K1A,1.367453166
PSMD4,0.658468271
ZNF687,1.17306279
RP11-126K1.6,0.217220863
PSMB4,0.696686695
CGN,1.52912522
TUFT1,0.851337921
SNX27,0.866279727
OAZ3,1.824014672
RP11-98D18.9,0.668788133
AL450992.2,0.274665513
FLG-AS1,1195625.728
RP11-107M16.2,2.991019175
CHTOP,1.415282456
SNAPIN,0.652370532
INTS3,0.940181894
SLC27A3,17.09534206
RP11-422P24.12,1.062593586
RP11-422P24.10,1.219512648
CREB3L4,3.77290629
RP11-422P24.11,0.230258483
RPS27,1.109100647
UBAP2L,1.299867293
HAX1,0.566061672
ATP8B2,0.387167668
IL6R,0.138772944
CHRNB2,624.2501676
RP11-307C12.12,1.420628194
CKS1B,2.093458371
FLAD1,1.33304549
ZBTB7B,1.749598625
ADAM15,0.180740505
EFNA4,0.076008194
EFNA3,0.037298731
EFNA1,0.39105463
SLC50A1,0.43323861
TRIM46,0.306196425
MTX1,0.443701114
HCN3,1.761356247
FDPS,1.02704404
RUSC1,2.280445466
ASH1L-AS1,0.298312148
MSTO1,0.877766517
DAP3,0.427692232
MSTO2P,0.89549374
LAMTOR2,0.301839706
RAB25,0.147469924
LMNA,0.39183194
SEMA4A,3.229689904
SLC25A44,0.965598351
PMF1,0.973848674
BGLAP,1.025817711
TMEM79,3.462199693
TSACC,0.126072022
APOA1BP,0.572617156
AL365181.2,0.868070634
RRNAD1,0.596105699
PRCC,0.9723118
KRT8P45,2.588389846
DUSP23,0.001430106
LINC01133,0.019797905
PEA15,1.501377044
SUMO1P3,4.627289052
NCSTN,0.843922366
VANGL2,0.215200044
RP11-312J18.5,9.189476498
KLHDC9,0.140925452
NIT1,0.412463023
UFC1,0.705679433
USP21,0.58141475
PPOX,0.166462442
NDUFS2,0.493587809
TOMM40L,0.816132879
SDHC,0.394571544
DUSP12,0.753844899
ATF6,0.911781384
C1orf226,1.36915304
UHMK1,0.407960359
UAP1,1.378493854
RP11-359K18.4,1.906694105
DDR2,0.928010324
HSD17B7,0.317000028
RGS4,627.5354397
NUF2,0.356946561
PBX1,0.383912275
MGST3,0.364384169
RP11-466F5.8,0.100268726
UCK2,1.266823784
POGK,0.462020792
DUSP27,6.23E-09
POU2F1,0.461599259
MPZL1,0.963102549
DCAF6,0.413782463
TIPRL,0.837041249
SFT2D2,0.680425444
XCL1,1
ATP1B1,0.068272894
BLZF1,0.408091776
RP1-206D15.6,0.125530646
C1orf112,0.328467203
GORAB,0.778074462
FMO4,0.051046236
PRRC2C,1.338926694
METTL13,0.608587966
SUCO,0.752098028
PRDX6,0.654205057
KLHL20,0.405846125
DARS2,0.244628839
GAS5-AS1,0.637971625
ZBTB37,0.400441474
RABGAP1L,0.51849923
CACYBP,0.211035782
RP11-318C24.1,1
RASAL2,1.836469232
RALGPS2,2.239666031
FAM20B,1.217331095
TOR3A,0.528518325
SOAT1,3.898669867
TOR1AIP1,1.468260246
CEP350,2.754217765
QSOX1,0.066185064
LHX4,0.142080759
XPR1,0.769375406
MR1,0.29228078
IER5,0.087954004
EIF1P3,4697098.147
NPL,0.090252171
DHX9,0.780893933
LAMC1,4.015841682
LAMC2,262.7178624
SMG7,1.057157665
RGL1,0.158502811
TSEN15,0.418838261
C1orf21,0.236717367
RNF2,0.668747503
SWT1,0.996462622
C1orf27,1.015082634
OCLM,0.486065502
LINC01351,0.818267667
RP11-142L4.2,3586875.185
RP11-92K2.2,1.268148969
RGS2,0.207514614
TROVE2,1.161845508
CDC73,0.629509442
C1orf53,0.306452679
NEK7,0.961263161
NR5A2,2.233926356
CAMSAP2,0.380055533
C1orf106,0.086662124
PKP1,231.1877907
RP11-27G14.4,0.194253806
RP11-134G8.7,0.256615605
RP11-134G8.5,0.511852492
NAV1,0.148184295
IPO9,0.944522614
SHISA4,0.322403447
TIMM17A,0.534137539
RNPEP,0.542350493
ELF3,2.377609129
PPP1R12B,0.905811137
PCAT6,0.266319712
TMEM183A,0.560035335
PPFIA4,0.782879102
BTG2,1.244410514
PRELP,2.861907629
ATP2B4,0.8295608
ZC3H11A,1.624231998
SNRPE,0.268485708
SOX13,0.360634475
MDM4,0.849909907
NFASC,3.510587576
SNRPGP10,1.322281692
CDK18,0.219350417
MFSD4,1.782956909
SRGAP2,0.700506057
IKBKE,0.130128361
RASSF5,0.313867861
DYRK3,0.181209816
MAPKAPK2,0.550942168
PFKFB2,1.206766596
CD55,19.80272171
CD46,2.499318774
DIEXF,0.459790304
HHAT,4.575405767
RCOR3,0.696244543
TRAF5,0.611786875
LINC00467,0.093595312
DTL,0.077577912
PPP2R5A,0.17487542
NENF,0.265631651
ATF3,0.031443365
TATDN3,0.15373872
FLVCR1,0.393321432
VASH2,0.118220228
RPS6KC1,0.67877347
SMYD2,0.749925831
CENPF,0.484475285
KCTD3,1.37305773
RRP15,0.773067195
TGFB2,131.0252038
LYPLAL1,0.21358571
IARS2,0.469666658
MORF4L1P1,0.961057216
MARK1,0.779308727
C1orf115,1.961902754
Mar-02,0.434498582
Mar-01,1.125665691
RNU6ATAC35P,1.491719679
TAF1A-AS1,0.147594137
MIA3,0.70784
BROX,0.230588435
FAM177B,0.082541369
RP11-452F19.3,0.838275171
DISP1,1.744601613
CAPN2,1.197929611
RP11-504P24.3,0.450161189
RP11-504P24.9,0.762866919
FBXO28,0.367319736
DEGS1,0.677894589
CNIH4,0.535420158
CNIH3,2.750577681
DNAH14,0.903276232
SRP9,0.45678639
EPHX1,0.849814645
H3F3A,0.385574983
RP11-396C23.2,0.110233364
RP11-275I14.4,0.963851856
C1orf95,0.176556418
PSEN2,0.950777827
ADCK3,0.115393749
ZNF678,0.222194043
SNAP47,0.188464551
ARF1,0.450011472
GUK1,0.187123564
IBA57,0.216195359
OBSCN,0.04627141
RP11-245P10.4,0.026098723
RNF187,0.499980158
FTH1P2,0.620228375
RHOU,0.768057464
RAB4A,1.159751841
RP4-803J11.2,1.022045034
URB2,0.415416697
GALNT2,0.689828387
COG2,0.856232603
RP5-858B6.3,0.161294527
ARV1,0.264271596
GNPAT,1.261235613
SPRTN,0.43874042
TSNAX,0.507719529
NTPCR,0.283889685
MLK4,2.392468344
KCNK1,1.664682885
SLC35F3,154406394.5
COA6,1.346979595
GGPS1,1.613856881
RP11-382D8.3,2.439587828
TBCE,1.256698916
GPR137B,0.27281563
EDARADD,25.74463325
LGALS8,0.512764508
MTR,0.187474207
RPL35P1,0.991191461
RYR2,0.003271124
EXO1,0.18637164
RP11-331N16.1,1.68E-08
SDCCAG8,0.458579901
ZBTB18,4.568826189
DESI2,0.900165647
COX20,0.820694718
CNST,0.506394502
SCCPDH,0.655440204
RP11-439E19.10,0.383004288
LINC01341,0.5445568
ZNF672,0.462017602
AL672294.1,1.679352877
PGBD2,0.364499535
WASH7P,1.048584979
FO538757.2,0.811621501
RP11-206L10.2,0.521821737
RP11-206L10.8,2.099788226
LINC00115,1.207625986
RP11-54O7.3,11.08441964
NOC2L,0.499090228
RP11-54O7.17,1.757313687
HES4,0.757666774
RNF223,0.777754942
C1orf159,0.750191627
TNFRSF18,0.588476884
SDF4,0.906064358
UBE2J2,1.280840033
ACAP3,0.724245707
CPSF3L,1.25540238
DVL1,0.676238331
MXRA8,0.012984719
AURKAIP1,0.544328732
CCNL2,1.358738522
MRPL20,0.591540343
RP4-758J18.10,0.450006845
TMEM240,7.180154225
SSU72,1.261062483
C1orf233,0.093964856
RP11-345P4.9,0.28812178
CDK11B,0.71157811
SLC35E2B,1.273566438
CDK11A,0.565355962
SLC35E2,1.851973647
NADK,1.489396669
GNB1,1.850155293
TMEM52,0.117426637
RP11-181G12.2,0.678875166
FAAP20,0.715957142
MORN1,0.523859204
RP4-740C4.5,0.405634756
PEX10,1.443381721
PANK4,1.546933329
MMEL1,0.474474706
MEGF6,6.052153157
WRAP73,0.871042433
RP5-1092A11.5,1.931262802
TP73-AS1,1.267872634
LRRC47,1.437985373
CEP104,2.010963956
C1orf174,1.561864739
NPHP4,0.720378262
CHD5,72.62269535
RPL22,2.158474735
RP1-120G22.11,0.13247791
ICMT,1.313848669
GPR153,2.242616614
ACOT7,0.740278081
HES2,0.583968869
PLEKHG5,0.243235125
NOL9,1.180570294
KLHL21,0.398315743
DNAJC11,1.024004701
RP11-312B8.1,0.141836996
RP11-338N10.3,0.037482119
ERRFI1,0.912859077
RERE,11.92075657
ENO1,1.136305447
SLC2A5,2211.043026
GPR157,3.364309511
PIK3CD-AS2,0.170251837
CLSTN1,1.189981098
CTNNBIP1,0.870160132
LZIC,0.625770748
DFFA,0.723089055
CASZ1,3.147282765
SRM,0.824057626
EXOSC10,1.052069074
MTOR,2.278325988
FBXO2,0.021603888
MAD2L2,0.590019588
MTHFR,2.589858296
KIAA2013,0.544394765
DHRS3,4.662960105
CASP9,0.947747082
AGMAT,263.2673591
UQCRHL,0.883324091
FLJ37453,0.39323233
ZBTB17,1.272254763
EPHA2,0.123902777
ARHGEF19,0.130838307
RSG1,1.005773203
FBXO42,1.721083021
CROCCP3,0.759303472
NBPF1,1.685142324
CROCCP2,2.124205071
EIF1AXP1,0.74371373
RP11-108M9.6,2.74E-07
ATP13A2,0.750463579
SDHB,1.087861682
PADI2,0.04726329
RCC2,0.810854992
ALDH4A1,1.246365344
IFFO2,1.530052091
UBR4,2.408294203
EMC1,1.441122721
AKR7A2,0.498791877
CAPZB,3.588664231
TMCO4,1.745116364
PLA2G2A,0.149626291
CAMK2N1,0.336705114
MUL1,1.346407811
DDOST,1.544094427
HP1BP3,2.0468447
EIF4G3,2.037539788
ECE1,5.043398358
NBPF2P,0.77839035
RAP1GAP,29.52848354
USP48,1.601332044
HSPG2,1.260330443
LUZP1,2.027113764
LINC01355,4.024924126
HNRNPR,0.975121896
ZNF436,2.334580684
RP5-1057J7.7,19.09145475
TCEA3,9.485531798
ASAP3,4.131324719
E2F2,0.661103837
RP1-150O5.3,3.424527815
ID3,11.43104295
TCEB3-AS1,0.525878325
GALE,0.212976406
HMGCL,1.071234559
FUCA1,0.988714142
SRSF10,1.388436863
STPG1,0.664549077
SYF2,0.961711099
RSRP1,4.100456841
RP3-465N24.5,1.133320086
RP11-335G20.7,2.084025534
AUNIP,0.324488786
PAQR7,18.19639684
STMN1,0.347660842
PAFAH2,0.677973053
UBXN11,0.475933505
RP5-968P14.2,0.254985703
GPN2,0.82389035
GPATCH3,0.620100385
KDF1,0.56496198
SLC9A1,1.142827067
MAP3K6,2.220514819
WASF2,1.462972405
AHDC1,0.346208318
IFI6,0.252490133
AL109927.1,1
RPA2,0.234805131
EYA3,1.173329177
SPCS2P4,2.205534506
DNAJC8,0.604135536
RP5-1092A3.4,0.510988151
SNHG12,1.030572006
TAF12,0.214800759
SRSF4,1.088784283
MECR,0.28535793
SDC3,0.062201925
PUM1,1.336470823
NKAIN1,10.76732803
SNRNP40,0.50359455
RP11-490K7.4,0.686620521
PEF1,0.57467334
ADGRB2,5.431543721
PTP4A2,1.608415997
RP4-622L5.7,0.841589487
TMEM234,0.507134515
MTMR9LP,4.59075548
MARCKSL1,0.559346711
FAM229A,0.561721619
BSDC1,0.678849012
ZBTB8OS,0.667996549
YARS,0.807921019
TMEM54,0.96650143
RNF19B,1.019173834
AK2,1.007846101
TRIM62,1.205520486
PHC2,0.97758322
SMIM12,0.897903629
DLGAP3,7.079463014
RP11-244H3.1,0.664200492
ZMYM6NB,1.355109447
ZMYM6,0.512697582
SFPQ,1.072198057
KIAA0319L,1.455500905
PSMB2,1.170434113
C1orf216,0.690982579
CLSPN,0.187068882
TRAPPC3,0.78629883
EVA1B,0.136154255
STK40,0.92965755
LSM10,0.457532495
OSCP1,0.284170488
MRPS15,0.464059712
LINC01137,0.503225585
MEAF6,0.487839829
SNIP1,0.507088003
GNL2,0.283991018
C1orf109,0.518981587
EPHA10,0.469092487
YRDC,0.813220187
MTF1,0.778906451
INPP5B,0.299257625
SF3A3,0.386540265
FHL3,0.211012697
RRAGC,0.75193319
MYCBP,0.650069518
RP11-69E11.4,0.50430637
PPIEL,0.168806001
PABPC4,0.65191527
BMP8B,1.377893704
TRIT1,0.474216627
MYCL,0.215515839
PPT1,0.523275235
RP1-39G22.7,0.233333651
COL9A2,6.30949905
RP11-656D10.3,0.217094923
RIMS3,0.675689496
NFYC-AS1,0.97107145
CITED4,0.135895603
SCMH1,1.207546714
EDN2,2.549118155
FOXJ3,2.324413214
ZMYND12,0.126431171
P3H1,0.541194037
CCDC23,0.66963419
SLC2A1,1.532743184
EBNA1BP2,0.795363649
C1orf210,0.653504527
RP1-92O14.3,0.471090693
ELOVL1,1.16748916
MED8,1.528218078
HYI,174.9893154
RP11-7O11.3,0.445007967
SLC6A9,0.18737375
RP11-570P14.1,0.31888139
ERI3,0.564256856
ERI3-IT1,0.744140186
TMEM53,0.657216608
RPS15AP11,1.320578034
TCTEX1D4,0.011613277
RP5-882O7.1,0.49661104
EIF2B3,0.579793711
HECTD3,0.386083968
ZSWIM5,2.218849945
MUTYH,0.134492146
TESK2,1.979625617
CCDC163P,1.743605011
PRDX1,0.221620389
AL355480.3,1
AL355480.1,2.976311021
GPBP1L1,1.582335516
RPS15AP10,0.991536723
RP11-767N6.2,0.766652251
RP11-767N6.7,0.51159666
IPP,0.498184206
PIK3R3,0.183643872
POMGNT1,0.809673484
LRRC41,0.790354192
MKNK1,0.399928195
MOB3C,0.431568746
ATPAF1,0.302149812
EFCAB14,1.146107085
CYP4Z2P,1
CYP4A22-AS1,0.305947838
PDZK1IP1,2.53E-09
STIL,0.693252202
SPATA6,0.002804232
FAF1,0.625129437
TTC39A,2.468828001
EPS15,1.111167241
NRD1,1.133175831
RAB3B,5.345004517
TXNDC12,0.794586356
KTI12,0.705533092
CC2D1B,0.621795599
ORC1,0.104968816
ZCCHC11,0.462292255
COA7,0.442643291
RPS13P2,0.68294053
ECHDC2,0.710290686
RP11-334A14.2,12.86893978
C1orf123,0.698913439
MAGOH,0.428213804
LRP8,0.304437659
NDC1,0.290634029
YIPF1,2.986568491
HSPB11,0.286051623
TMEM59,0.792656307
CYB5RL,0.283559571
SSBP3,1.435563348
PARS2,0.605761339
DHCR24,1.987691838
USP24,0.992755049
PPAP2B,2.227902044
C1orf168,1.096165876
RPS26P15,1.860133175
OMA1,0.412847495
TACSTD2,6.507749594
RP4-592A1.2,1.13406492
MYSM1,1.416710493
JUN,0.24329962
CYP2J2,5.654656397
RP11-776H12.1,0.008428368
TM2D1,0.754061386
DOCK7,0.887892897
FOXD3-AS1,0.123952438
ITGB3BP,0.194319953
JAK1,3.177980443
SLC35D1,418.8350513
SERBP1,0.570416567
GNG12,0.441841954
WLS,1.035532569
DEPDC1,0.401787664
LRRC40,0.786394246
ANKRD13C,0.410639978
ZRANB2,0.865109138
RP4-660H19.1,0.496083782
CRYZ,0.151808357
SLC44A5,35.29649294
PIGK,0.569726202
ZZZ3,0.749715953
USP33,1.717463594
RP11-181C21.4,0.088392776
FUBP1,0.873832526
RP11-386I14.4,1
TTLL7,0.740355637
RP11-486G15.2,0.037259852
UOX,0.164697718
GNG5,0.267415842
CTBS,0.271165473
SSX2IP,0.228316758
LPAR3,0.057791384
MCOLN2,0.481197318
SYDE2,1.43460701
