gene,pval_1
RP11-344E13.3,0.013022017
ZNF630,0.000761659
SMC1B,0.007707687
KIF5A,0.016330559
PLIN5,0.001144943
C9orf66,0.034086091
CGA,0.122232804
SNTB1,0.052832056
CELF3,0.023760312
DNAJA4,0.001474692
S100A10,0.01459251
EDA2R,0.037005081
PRSS21,0.004089182
DOK6,0.042287156
BAI1,0.06018531
SSX3,0.039677082
AIFM3,0.016147635
RTBDN,0.04959507
HES7,0.03126024
MST1R,0.03518549
CD44,0.000419475
CD109,0.000305548
FLNC,0.000487225
ARL17A,0.02654258
FAM84A,0.101112715
GALM,0.007875686
LGR5,0.031349985
CECR1,0.001071566
ITPRIPL2,0.000922283
FAM46A,0.052223688
SCN8A,0.02670595
CRYBA2,0.016138396
SV2A,0.019873355
BASP1,0.034228162
LINC01029,0.000668961
IRAK1BP1,0.015930335
MT1E,0.016449756
PDK4,0.174934356
CAMK4,0.017292803
HLA-DMB,0.003590223
DOCK8,0.004341499
EFHD1,0.181938496
SCG2,0.125738439
EGR1,0.004893282
COPZ2,0.047740942
GJA1,0.028172349
AVPR1A,0.030369006
LOC284581,0.033568601
FAM129A,0.282082577
IGF2BP2,0.025885427
SPOCK2,0.00367386
MEIS3,0.007228438
VIL1,0.009004343
GALC,0.013695635
SRRM4,0.005037864
NNT-AS1,0.012477164
SLIT2,0.003202091
KIF12,0.058994053
C21orf15,0.0342864
AMER3,0.004816015
STMN4,0.229173781
TPTE,0.022836964
RNF5,0.018191358
CCR10,0.053193623
AREG,0.202230326
GABRB2,0.011781983
STAT6,0.00151972
XCL1,0.014964955
FAM171B,0.00796556
DLGAP1,0.055203759
SLC12A4,0.022213556
ETV5,0.01562278
AC009948.5,0.04885935
SAMD14,0.01869552
GATA3,0.000370544
RIMS2,0.008529124
TFF2,0.041876142
HLA-DQB1,0.002609279
PM20D2,0.000500349
ZNF311,0.012738151
PPM1N,0.017852104
GABRA1,0.004358059
PPT2-EGFL8,0.161482158
PARP14,0.001275713
CPLX2,0.00960702
B3GALNT1,0.001492943
SYK,0.00031791
DPYD,0.013169091
GSTM2,0.002279211
SAMD4A,0.02775366
ACHE,0.06096814
ACE,0.00208747
HNF4G,0.004408456
TMEM74B,0.111784267
AOX1,0.069708397
SSTR1,0.000540532
ZDHHC1,0.009128423
RHOBTB1,0.029534452
BEX1,0.024539754
RGS2,0.00108752
CPNE4,0.002556514
C12orf39,0.241338271
C17orf104,0.000817151
MUC13,0.027437879
AP000344.3,0.03790715
DUSP6,0.046393552
KCNH6,0.003582708
IFNLR1,0.00018028
MECOM,0.000163504
ABCC11,0.137643513
SRPK3,0.031564625
CDH2,0.00151028
RP11-669N7.2,0.000698616
ETV4,0.000637121
ANGPTL4,0.003416209
CALCB,0.028216981
CDH7,0.005555692
POU4F2,0.000375306
DMKN,0.011789786
LGALS1,0.000800272
MSH5-SAPCD1,0.150706789
LUM,0.036631917
ASB9,0.012129195
TMEM145,0.030208486
FMNL1,0.010653777
IRS2,0.052170967
SLC25A43,0.000702275
FCGRT,0.039321521
VAV3,0.010450545
AKR1C2,0.061391826
HSPB6,0.004654866
FAM224B,0.056710059
TMEM178B,0.006966272
LBX2-AS1,0.01661306
LOC102724058,0.000104998
LXN,0.036993863
NR3C1,0.060742865
IL17RE,0.000642169
ANKRD18B,0.008364188
TMEM30B,0.003544665
RIBC2,0.000627857
RASA4,0.011370158
RGS11,0.105922655
GPX7,0.068318662
DENND2D,0.000364377
TNNI3,0.004848745
SGCE,0.009590988
CRABP2,0.000709407
CRIP1,0.000969662
GPR162,0.016729372
NLGN1,0.000828941
SCUBE2,0.019552511
ZNF98,0.000717311
SRGAP2B,0.026141041
SLC47A1,0.003626713
GSAP,0.006130638
DMC1,0.008172204
PDGFC,0.000252364
LPHN2,0.061473801
CCDC85A,0.18199154
PLXNA2,0.002086909
MT1L,0.114399328
ARMCX4,0.04989099
SHD,5.26E-05
CLIP2,0.027532273
TRANK1,0.010251154
SLC47A2,0.025625789
ACTL6B,0.031254241
SLC35D1,0.000244776
RBMY1A1,0.006952929
SERPINB1,9.17E-05
PRKG1,0.000620942
PLEKHA4,0.000894956
HNMT,0.002740357
LOC101928891,0.062188473
AGER,0.147441413
NEGR1,0.000302183
SYTL5,0.04015926
FGF14-AS2,0.016640717
BOLA3-AS1,0.017451553
NPM2,0.002162235
DHRS2,0.000438991
SLC44A5,0.018664857
HABP2,0.003773252
RND2,0.000768895
KLK1,0.002735278
CIB2,0.007456325
VAV1,0.008087297
SBF2-AS1,0.003719122
MFAP2,0.000322187
SNAP25,0.000812949
PAX8-AS1,0.000624505
SYN1,0.009121753
AMBP,0.012569486
HOXB3,0.027568896
SCRN1,0.028156333
TPPP3,0.097730035
SLC17A7,0.002235256
SLITRK6,0.038961104
EDARADD,0.001711807
SLC16A4,0.043944124
GPAT2,0.012872903
SRRM3,0.006318587
SYT17,0.023176417
VGF,0.019195892
APOC1,0.001018453
CRLF1,0.000388678
TSPAN8,0.000997681
NNT,0.000527186
TRPV4,0.035530167
RFTN1,0.005126582
PCDH7,0.0316867
SLITRK1,0.000308879
DKK1,0.010261907
LHX9,0.059694171
TEX40,0.001195771
LEPREL2,0.040001351
ZNF117,0.031768269
FUNDC1,0.000750575
PCDHA13,0.000446015
PRTFDC1,0.000958606
SPINK1,0.001879309
RAB39A,0.0003622
SLC6A15,0.000457604
C5,0.018129869
PON1,0.001474666
VWA5B2,0.008708379
ZFP3,0.004017208
HBA2,0.016155427
BAI3,0.000860966
ZNF492,0.018531676
FAM224A,0.101391439
CSRP2,0.008375732
CHRNB2,0.000901488
ALDH7A1,0.001227028
FBXO17,0.000427142
NAGS,0.00181756
FBLN1,7.00E-05
KDELC2,0.001671025
LOC730102,0.003920438
TMED6,0.010872584
ASIC3,0.063169706
SEZ6,0.002165206
DDX53,0.001533574
NKX2-5,0.0081501
RERG,0.011368084
ANXA2R,0.002711122
PAQR7,0.000556016
NXF2,0.001442837
SPOCK1,0.009853463
ARHGAP19-SLIT1,0.125550898
C14orf169,0.000987434
GCG,0.027407092
GSDMD,0.00261803
DNALI1,0.007877493
PGAM2,0.000145587
A1CF,0.007558037
CACNA2D1,0.001026822
TNNT1,0.000160305
ANKLE1,0.004199161
CPNE8,0.003645791
PSD,0.062878261
PAX5,0.001008242
BST2,0.019857636
KIAA1324,0.012741971
UNC13A,0.011549287
SPRY4,0.000258741
CLIC3,0.019097712
MISP,0.000849152
FGF11,0.010767746
PNMAL1,0.000202098
MAPK15,0.116165891
PDE6B,0.001660759
FAM57B,0.009544189
FIBCD1,0.000274606
ZNF571-AS1,0.007677632
HOXA9,0.08427552
PRR15,0.00119587
LPL,0.007639259
TPTEP1,0.00064807
HOXB8,0.002955407
PNMA2,0.004960794
UCP2,0.004622937
SLITRK5,0.00357168
CILP2,0.000816017
MPP1,0.009826815
DCAF12L2,0.009757784
SCG3,0.001839017
HBA1,0.016747998
GFI1,6.42E-05
COCH,0.005434854
ARHGAP15,0.00109295
HCG18,0.033852059
PDE5A,0.004009593
ZNF257,0.003276949
CTHRC1,0.021487421
SLC2A10,0.017498976
NHSL1,0.041694675
HOXB-AS3,0.182893103
MFI2,0.015208294
NXF5,0.015020403
ELMOD1,0.070498359
SP140L,0.011968465
NXF2B,0.00117798
PXDC1,0.005709191
GABRE,0.139174907
KRT19,0.000782286
C3orf14,0.002299312
REEP2,0.001543209
FKBP1B,0.006738019
PNCK,0.001463628
HOXB7,0.000744067
TMLHE,0.01642314
RPL39L,0.001817971
PHLDB2,0.00406152
SPTBN1,0.001390497
RND1,0.000624588
CCDC74A,0.012938626
C1orf54,0.09949608
ME3,0.000572072
CDK5R2,0.003843684
DDAH2,0.00020559
POTEE,0.144478873
MOXD1,0.000675408
TEAD2,0.006887919
CNIH2,0.007932317
LONRF3,0.000407121
BMS1P6,0.087202222
NES,0.038265455
LINC01139,0.020879031
GNB3,0.125976691
CAND2,0.000795949
PPP1R15A,0.114602795
GRIN2D,0.001041572
ATP1A3,0.000856103
CGB2,0.000499595
SFMBT2,0.035068728
ALPL,0.013561759
GAS2L3,0.006796233
ARHGAP20,0.011042197
GRIN1,0.009264577
CCNJ,0.001469837
PEG10,0.014719327
RSPO4,0.002901269
SPTBN4,0.058030302
TRIP6,0.007255859
SSX2B,0.039532204
ID2,0.001481052
SYT5,0.00082107
SNAP91,0.01966643
CELSR3,0.021935535
NUDT17,0.009973937
NELL2,0.004718949
ACRBP,0.03797229
LNX1,0.005040245
PPT2,0.001467753
TNFRSF18,0.003643377
AKR1C1,0.044996139
MSH5,0.032240786
VSTM2A,0.001201388
CT45A5,0.022643852
TIMP1,0.001253702
HPGD,0.002862194
PITX2,0.016077517
CHRNE,0.017104275
PDE4D,0.00579367
ICAM5,0.013075989
AKAP9,0.006375512
TFR2,0.000514243
ATL1,0.001558022
RTN2,0.001043797
DSCAM-AS1,0.161917489
PTCHD1,0.020137274
ZNF789,0.022350559
P2RX5,0.002382022
APOE,0.143475159
AGAP2,0.003531997
ITGA1,0.001735867
LOC100294145,0.000364097
FAM95B1,0.004406403
GAS2,0.046776728
AFAP1L1,0.001052395
NKAIN1,0.00415812
PHF11,0.009716465
PTPN20A,0.008822852
CERCAM,0.007912032
LINGO1,0.001314379
APLN,0.001556864
RBM11,0.053429941
KATNAL2,0.019866624
CTAG1A,0.01542176
HOXB5,0.00133652
CTAG1B,0.016166796
ELMO1,0.033268611
BAZ2B,0.019659922
RGPD5,0.031649825
CDC42EP1,0.093638972
RP4-756H11.3,0.129178531
LRRC37A4P,0.020341957
MYRF,0.005112591
RND3,0.004660987
STOM,0.002143803
TUBA3FP,0.009399804
NMNAT2,0.011757705
HLA-E,0.010450446
XAGE1A,0.255584003
RASA4CP,0.005152195
NR2F1-AS1,0.003735754
GPR35,0.001670931
PCDH20,0.041485022
CDH23,0.001413307
TNFRSF25,0.140723508
SYP,0.000674921
PLXND1,0.015948153
ELOVL4,0.000872934
MVP,0.012197387
TCF4,0.000300644
HYI,0.001234589
SPESP1,0.002536603
RASIP1,0.000405985
TGFB3,0.001475736
PXMP4,0.015462608
NFASC,0.016913974
EXOC3L1,0.043615392
MDFIC,0.00340361
FAM178B,0.000434195
CCDC109B,0.00105275
RASGEF1A,0.009509785
ATAT1,0.015723638
PAK6,0.002983625
CX3CL1,0.029177888
CHRM4,0.001169775
GAL3ST1,0.005205359
IQSEC2,0.000228224
LOC100507547,0.036412038
MATK,0.019491163
GTF2H4,0.00656359
BAIAP2L2,0.022317989
LY6G5B,0.116107203
KLF7,0.033922371
RDH5,0.061514963
TFAP2A,0.010005951
BMP2,0.002901945
MTSS1,0.018823644
APOLD1,0.06399589
KCNQ5,0.012710521
PARD3,0.006902761
USH1C,0.002098617
TMSB15B,0.032844342
ZNF503,0.000756578
SLC43A3,0.012128403
DDR1,0.000134932
PPP2R2B,0.003512683
AFF3,0.008340925
SAPCD1,0.112110624
CALHM2,0.001732008
DLX1,0.010089232
GNL1,0.000425242
NEFH,0.003300116
CTAG2,0.000900989
AP3B2,0.00147478
BEX5,0.001588804
MTMR11,0.069668528
RAC2,0.000808535
AKR7A3,0.020310592
FAR2,0.001955711
HAPLN3,0.028923525
TGFB1,0.00228686
NID1,0.002539867
SNORA52,0.616425846
SNORA2A,0.616425846
ADIRF,0.019194529
CRISPLD1,0.052525134
PPP1R18,0.00156648
B4GALNT3,0.024862771
ATF6B,0.01652099
CES5AP1,0.224981295
PLEK2,0.006816663
TCF19,0.000880127
GSTM4,0.00688851
CNTFR,0.004590041
FBXL2,0.000116107
RASGEF1B,0.020472944
ZBTB10,0.000383865
ALDH3A2,8.05E-05
ZNF676,0.066745987
PPP1R9A,0.011046142
FOS,0.062591549
GLRB,0.004940816
LINC01234,0.00198762
DDX39B,0.000825009
STK19,0.066465092
CEMIP,0.048410394
EPDR1,0.000747482
IRS1,0.031629649
WNT8B,0.005964501
PCOLCE2,0.010081324
ARHGEF6,0.000917284
PBX2,0.002626327
CLIC1,0.000107346
NEURL1,0.05207082
CCHCR1,0.002047056
C6orf48,0.048520045
PLA2G3,0.032477905
GSTO2,7.45E-05
STX1A,0.008071092
YBX2,0.004086415
STMN3,0.000720323
FAM109B,0.002136369
VCX3B,0.000400597
ZDBF2,0.016901898
KCNMB4,0.03046625
KIF16B,0.005600913
PTPRN2,0.020705897
MAGEA4,0.00723274
PHYHIPL,0.003368788
PRRX2,0.002133339
GOLGA2P5,0.018564044
LCAT,0.04602613
CES3,0.045391441
PLSCR1,0.002438484
HCN3,0.069358127
RAB3C,0.013303412
H1F0,0.059118774
CCND1,0.001877192
TNFAIP2,2.08E-05
HHAT,0.014485141
RUNDC3A,0.089229395
C22orf34,0.004330956
SYT4,0.025000652
CENPV,0.003879839
FCHO1,0.010135533
CRIM1,0.000277672
FAM213A,0.004484836
CLPTM1,0.001900683
CAPS2,0.002277667
ACSL6,0.000428543
ZDHHC8P1,0.097587963
IER3,0.028767453
TRIM7,0.080605904
LINC00925,0.012744658
NDRG4,0.02120121
MDC1,0.02288547
FAM13C,0.014453951
FEV,0.031845464
SNHG5,0.003532376
PBLD,0.002237277
C6orf47,7.73E-05
IRX5,0.005926521
PRADC1,0.008715272
ZNRD1,0.002203909
IGF2BP3,0.001830805
CA11,0.004841418
WEE2-AS1,0.106771659
PPP1R1B,0.021825795
JPH3,0.007651226
HES1,0.000500588
SLFN11,0.121380656
NPTX1,0.060675953
BRSK2,0.10720255
HNF1A,0.004037144
PRR16,0.012152405
RGPD1,0.086827742
BSN,0.01812048
ABHD16A,0.000251147
ABLIM3,0.107269287
LINC00265,0.023004752
METTL7B,0.030349879
RING1,0.018356577
ID4,0.016485971
CLU,0.051397235
PIBF1,0.023567256
DGKA,0.031479541
SLC44A4,0.020430031
HSD17B11,0.001175198
COL14A1,0.014118956
CNNM1,0.001734515
HOXC10,0.002648884
DPP10-AS1,0.046952081
CREB3L1,0.007647973
HOXB6,0.011039011
ZBTB22,0.008209131
TEX15,0.093437208
NFKBIL1,0.06132511
GAB2,0.012449064
MET,0.004300927
FAR2P1,0.067107755
ZNF681,0.001687721
TPBG,0.002656711
PLAUR,0.037393503
RALGPS2,0.000845176
SPATA6,0.056845921
FBLL1,0.125365165
TMSB10,0.008198548
DXO,0.017480046
NFIB,0.007378884
FGFR3,0.030540754
FAM188B,0.014471245
LINC01023,0.179585921
DHX16,0.00187404
SLC27A3,0.00599032
UGT8,0.017777713
RXRB,0.018716682
AK7,0.021490524
GMPR,0.017346815
RCOR2,0.005563472
HSPA1A,0.122804761
TMEM216,0.002866788
GPANK1,0.00727004
KCNIP3,0.030600504
MT3,0.015198774
PROCR,0.048911463
C2orf74,0.00596478
TRIM74,0.392971267
ZC3H6,0.066258254
GPR37,0.01736269
ABI2,0.000344012
CAMK2D,0.004870103
TRIM36,0.012942561
ZNF713,0.000984746
LINC00342,0.027668032
MSMB,0.125291705
SPRY2,0.000239677
RIMS3,0.002602351
SCARA3,0.005212921
CSRNP2,0.002295256
C4orf19,0.003246199
DPYSL3,0.034117238
STAG3L1,0.009556178
BACE2,0.100135598
PCED1B,0.008983903
TCEA3,3.04E-05
PLEKHF2,0.002928507
SLC10A5,0.015014569
CBLN2,0.026486328
PLD6,0.005857595
SEMA6A,0.005978606
ACBD7,0.015075299
PTGES,0.100797539
SLC38A4,0.00898409
CHRNB1,0.000325819
AC010524.2,0.000592471
ANO9,0.181486346
CDH3,0.017804539
MAATS1,0.003481849
ECE1,0.015746164
DNM1,0.001776213
FAM110B,0.03338344
SNCG,0.048091355
TLX1,0.019047919
PLOD2,0.014746069
MRPS18B,0.00067208
SNAR-G1,0.388453874
C19orf83,0.113816365
PROS1,0.003971053
DGUOK-AS1,0.012658358
PAK1,0.001184247
AQP1,0.026424569
SUGT1P1,0.044076014
SCGB1D2,0.069773928
PRR3,0.004163579
EVA1C,0.058405791
VARS2,0.003300615
PARM1,0.003375475
PCLO,0.004430766
ARL4A,0.00221384
CD55,0.130434271
MAGEA1,0.03473263
SLC40A1,0.004553828
SH2D3A,0.004618313
LOC100133331,0.047057118
DOK4,0.034441513
MDK,0.006364641
SLC35F1,0.029598369
EPS8,0.004053987
CSNK2B,0.000360324
PPP1R13L,0.003581459
C9orf173,0.002955436
CABP4,0.007522229
BDH2,0.000360319
SLC5A5,0.104257803
PMS2P5,0.053456126
VPS52,0.001479281
CNTRL,0.012555544
LAMB1,0.001610355
IRX3,0.000171566
RPS18,0.007475476
PLAGL1,0.006580261
AMY2B,0.058968071
CCKBR,0.243096419
FLOT1,0.002244265
DBNDD2,0.00234165
CDK18,0.032127056
GPC6,0.011205858
LETM2,0.002417261
LOC100507346,0.025889761
PKN3,0.014726189
PLA2G7,0.007762699
C2CD5,0.0014402
AQP3,0.01924111
WT1,0.006924895
AS3MT,0.007615528
TAP1,0.007829834
NMB,0.002450824
ELOVL2,0.006692133
LRRC8A,0.005416014
ITPR2,0.001236466
NELFE,0.001024871
HMGB2,0.000511682
NBEA,0.00154313
REL,0.026099498
SGK2,0.015282081
C5orf42,0.012202187
NAB1,0.000973692
PLIN2,0.000840361
SFN,0.145170741
FAM111B,0.004362819
BORA,0.000187041
NRM,0.023153611
LMO7,0.00612506
LOC113230,0.009950982
EHMT2,0.005803325
CPT1C,0.053444487
RBP7,0.002687818
SCIN,0.055752155
NEU1,0.000865353
KANK1,0.006547869
ADAMTS3,0.031356627
LOC100133315,0.001059471
TMEM45A,0.0020771
RPP25,0.007832705
C1orf106,0.010041299
BRD2,0.000563296
BAHCC1,0.12888623
TLDC2,0.000910066
PGBD1,0.0002984
HOPX,0.003655666
MAPK4,0.196954479
CTB-118N6.3,0.052479271
BZRAP1,0.033019583
GGACT,0.02840681
ALG1L,0.035252433
MEST,0.002336347
VPS36,0.000839654
DOCK3,0.081698377
PHF1,0.017512214
COLGALT2,0.051654028
TINAGL1,0.007469283
RNF5P1,0.001651973
LINC00263,0.022347544
RBMY1B,0.024477572
PHF21B,0.009092785
DNAJC22,0.006830124
EPS8L1,0.005646044
PLEKHG5,0.158642648
WDR78,0.179810897
TARP,0.003295331
HMBOX1,0.155775319
STAT5A,0.000187354
SERPINH1,0.017032527
ANP32E,0.010559124
C19orf45,0.004407035
ACADL,0.036519983
BMS1P5,0.058436433
DST,0.026653725
OAT,0.00913664
FAM102B,0.000492433
CRABP1,0.015626885
MSH2,0.008065439
ST6GAL1,0.031995317
HENMT1,0.002017717
HCN2,0.000466982
TUBB6,0.037211586
ARHGEF2,0.35024574
PXMP2,0.000971146
C2orf48,0.102796497
LIPG,0.065966388
KREMEN2,0.014124102
IQGAP3,0.016050094
MYNN,0.002464002
EPHX4,0.063865985
FEZ1,0.026861243
NUTM2A,0.073015387
CECR6,0.000570652
TRIM39,0.030836237
PTCH1,0.028034932
C6orf136,0.004217563
CACNB2,0.029669552
C2orf27A,0.051925242
OBSCN,0.117148851
CP,0.06711
BCORL1,0.002877533
MFSD4,0.059257782
ASPM,0.011086321
TAPBP,0.017600023
AC159540.1,0.125773974
FABP5,0.24283872
LRRC37A3,0.07678586
FRAS1,0.034472433
SAP30,0.001867912
ABCC2,0.096278001
FAM72C,0.032966423
NEK11,0.02338158
FYN,0.069113551
RCAN2,0.005662956
CLIP4,0.003607818
XAGE1D,0.041981283
STAG1,0.000520947
PPP1R11,0.001038037
DMGDH,0.490594931
SORBS1,0.003008648
PDE4A,0.039904425
TRIM26,0.000728
KISS1R,0.027357953
SRMS,0.013427595
ITGA9-AS1,0.003265507
KLRAP1,0.014009598
APAF1,0.002644758
ELF4,0.00401916
TMED7-TICAM2,0.02609206
HYLS1,0.002318918
FHIT,0.001414514
EML2,0.00979309
ENO2,0.019227811
UNC13B,0.04261307
NBPF3,0.001597906
PGBD5,0.003299668
KIFC1,0.019461854
SMPDL3A,0.01878644
KCNC3,0.13508214
SLC13A3,0.000976055
WDR72,0.012061854
GADD45G,0.212413106
ARHGDIG,0.033071449
JAZF1,0.002101945
BLOC1S1-RDH5,0.002019972
VWDE,0.024750077
SRGAP1,0.027666952
NINL,0.00838133
FERMT3,0.002048203
EGFL8,0.063914507
MAT1A,0.049247596
HELLS,0.035090603
PHTF1,0.003476295
TIRAP,0.006231501
HBQ1,0.007946042
NR2F1,0.055494343
MAPK11,0.04477228
MTBP,0.006257307
B3GALT4,0.100779226
PRKAA2,0.041687963
VPS37D,0.024351882
DPYSL2,0.015455727
C8orf4,0.241138479
DDN,0.058805987
E2F2,0.035841012
PRRC2A,0.000716757
GATSL2,0.077314957
LOC100093631,0.010679857
BAG6,0.00575188
TUBB2B,0.009091813
TXNIP,0.184866479
ADSSL1,0.000969192
COL9A3,0.004838206
TRIM27,0.002132869
IFI30,0.034687137
WDR46,0.002248276
KRT7,0.058228172
DTX3,0.122872232
CLMN,0.005227565
CDH24,0.010324533
SULT1A2,0.032786615
KHDC1,0.000690377
RHBDL1,0.042221021
KLF4,0.190052484
SOS1,0.013591101
C2orf72,0.014139605
LOC389831,0.004653677
PRPH,0.00470219
RUNDC3B,0.002214332
LSM2,0.022319885
ANKRD36B,0.114368927
FKBPL,0.001439321
CTNND2,0.033737532
RASSF8,0.006835826
PSTPIP2,0.012657446
CYP2D7P,0.014972198
PDIA2,0.302841742
TRAF5,0.002171342
ICA1L,0.002260397
CITED2,0.001092772
PART1,0.039624383
ADAM22,0.028616688
CDKN1B,0.038122678
DAXX,0.002761063
DNAJC6,0.001546125
HSD17B8,0.000508545
AGPAT1,0.002769889
SRSF10,0.001314193
SLC2A13,0.027000612
SPRED1,0.002332768
MEGF6,0.312656533
CASP8AP2,0.007160479
TMEM180,0.024640918
UBE2Q2P3,0.14584037
PLA2G4A,0.092995034
CAPG,0.182173103
LOC283788,0.017943686
DDIT3,0.273033389
SLIT1,0.053423618
TUSC3,0.004494942
ZNF724P,0.001015074
FOXD1,0.016665672
NLGN2,0.039206182
RNASE4,0.008345516
ERV3-1,0.10820256
LYG1,0.001936389
LAT2,0.032973484
PYGL,0.002967756
VARS,0.004184624
GPR137C,0.006349494
GTF2IP1,0.011290629
SNHG7,0.04227551
TRPS1,0.069508881
FAM126B,0.002187428
TMEM198,6.35E-05
RAB3IP,0.002496616
HMGN2,0.004860752
VCX3A,0.049025544
PLEKHG6,0.04076371
ACRV1,0.000526758
COL5A2,0.041826357
IL17RD,0.011668185
GATS,0.014790239
LIN9,0.001058207
CLIP1,0.003425695
FUOM,0.051642736
APOH,0.079576542
CDKL1,0.047423854
ETS2,0.03534502
MSI1,0.006472993
FAM208A,0.004296499
TAP2,0.009495199
ZBTB37,0.087463644
POF1B,0.002038047
MAPK13,0.003129587
PLCXD1,0.006083177
ZBTB12,0.016389248
LEF1,0.017568671
C9orf64,0.010303775
PALM,0.004895277
LOC284454,0.03137391
RAB11B-AS1,0.000204728
BAI2,0.028506184
STAG3L2,0.018076174
SLC39A7,0.004927389
FAM50B,0.012479572
SPAG16,0.028816871
FGF13,0.036214181
CXorf57,0.040658889
ZGRF1,0.043645331
CHGA,0.115511049
TNIK,0.047764669
ZNF620,0.001493254
LPGAT1,0.003834756
LOC642846,0.183716136
GABPB2,0.007921674
DEPDC4,0.043297313
ZNF519,0.034782916
HP1BP3,0.000633093
NRBP2,0.147106304
COL7A1,0.415538289
KIF18A,0.001294935
CAMK2N2,0.001460107
SATB1,0.135497944
BDNF-AS,0.092428366
ZNF473,0.097767655
ATP8A1,0.111406205
CASC5,0.042743134
AGAP2-AS1,0.042536073
ID3,0.03407591
PDE4DIP,0.003276297
NEURL1B,0.040871929
SYTL2,0.071825233
ZSWIM5,0.001379199
BBC3,0.075302225
INPP5J,0.010833631
SDC2,0.007189974
ARHGEF37,0.014882911
CIT,0.006482599
TMEM194A,0.006471414
TUBE1,0.12762842
KIAA1161,0.020239122
MLXIPL,0.315179563
HSPA2,0.28212121
FAM27B,0.040118973
CENPH,0.001267483
SEMA4G,0.082362552
KCNJ3,0.010783957
LIN7A,0.008881602
CEP135,0.001277535
CFD,0.058304373
CCDC64,0.011168627
HMGN5,0.010293917
IL1R2,0.032975598
PYROXD1,0.082586569
RP11-35G9.3,0.014832286
ST3GAL5,0.008419152
CNTNAP1,0.02566594
FANCL,0.007029135
PFDN6,0.002139611
FCHSD1,0.079391962
DDX12P,0.196449449
MAP2,0.021610323
LIMS3,0.016798088
MMS22L,0.010332619
BAZ2A,0.005094495
OSBPL3,0.027902859
ZNF273,0.020414027
MAPK8IP2,0.005451336
WDR76,0.048961487
ALPK1,0.221152999
RP9,0.065667021
HOXA6,0.051404652
CMTM8,0.012291707
KIAA0895,0.000323904
GUCY1B3,0.012877426
ALB,0.225591661
ZNF718,0.021823801
ELF5,0.076077885
FUCA2,0.023644208
GRIN3A,0.010893099
SMPD3,0.002929092
NEK2,0.000790163
NBPF8,0.233251289
KCNH2,0.009941522
ANG,0.008850316
LOC220729,0.020572319
LIN7B,0.003009361
TNS3,0.034433376
DNAAF3,0.007166561
TTC31,0.054296019
SKIV2L,0.0490879
C18orf54,0.021395445
MAST2,0.056350497
STK17A,0.000885349
GPALPP1,0.009846545
DCBLD2,0.0157305
PLCB3,0.032276107
WWTR1,0.009221759
SSBP2,0.017089753
C1QL4,0.073318829
ELL2,0.028687836
AP1S2,0.001245786
ACSF2,0.044343148
ING3,0.009811597
GNAI2,0.00216953
LINC00882,0.200220906
ITGA7,0.159093197
LOC100288637,0.008723118
TMEM194B,0.001447659
XAGE1E,0.064351
LOC646762,0.030659768
