gene,GSE55030_p_val,GSE71797_fc_1,GSE71797_fc_2,GSE82223_fc_1,GSE86532_fc_1,GSE92574_fc_1,GSE110903_fc_1
RP5-1182A14.5,0,0,0,0,0,0,1.981522502
MST1P2,0,0,0,0,0.344639647,0,0.308790971
CROCC,0,0,0,0,0.064231344,0,0.773420536
ARHGEF10L,0,0,0,0,0.058583789,0,1.894623237
ACTL8,0,0,0,0,0,0,0.376567317
IGSF21,0,0,0,0,0,0,429314680.2
KLHDC7A,0,0,0,0,0,0,131262515.8
RP1-43E13.2,0,0,0,0,0,0,1.025178191
MRTO4,0.002422392,3.144874322,1.918683536,0,0.030417475,0,1.000273276
PQLC2,0,0,0,0,0.054116332,0,1.719306457
MINOS1,0.005397132,1.275401289,1.325706857,0,0.115844875,0,1.989810337
RP5-1056L3.3,0,0,0,0,0,0,1.637553403
NBL1,0,87.77535279,17.39419783,0,0,0,305.5954348
HTR6,0,0,0,0,0,0,0.45728539
OTUD3,0,0,0,0,0.179833066,0,1.358144117
PLA2G5,0,0,0,0,0,0,3.235653798
PLA2G2F,0,0,0,0,0,0,0.051255065
PINK1,0.076601672,3.280100675,1.294026144,0,0.029045122,0.864790577,1.021878893
NBPF3,0,0,0,0,0.001597906,0,1.647256692
LINC00339,0.299314848,0,0,0.292157775,0.009714023,0,0.392665299
CDC42,0.106478083,1.610522758,1.638022757,0,0.009430072,2.789080602,1.667920712
ZBTB40,0,0,0,0,0.615682153,0,1.679940199
ZBTB40-IT1,0,0,0,0,0,0,4.460307325
EPHA8,0,0,0,0,0,0,15.81580684
EPHB2,0,0,0,0,0,0,3.81582508
KDM1A,0.000350824,2.85169743,0.703899827,0,0,0,1.178972854
RPL11,0.008057878,2.883705427,1.444367226,0,0.039004796,1.292381974,1.322310057
TCEB3,0,2.195286385,1.274173335,0,0.237158392,0.656791163,2.239107609
PITHD1,0.011544285,1.168917096,1.87759374,0,0.0877197,0,1.554258969
LYPLA2,0.044785192,1.98318297,1.378057213,0,0,0,1.102607365
PNRC2,0.162589559,1.214080388,1.281336994,0,0.006012544,2.064328308,1.979648301
GRHL3,0,0,0,0,0,0,0.495304647
NIPAL3,0.009781676,0.937658318,1.234660001,0,0.007125267,0,0.900084749
RCAN3,0.014325391,2.346846379,0.20749701,0,0,0,1.095527656
SRRM1,0.145418023,2.464326949,0.734581279,0,0.742820563,0,1.271248435
CLIC4,0.030455456,3.025010683,4.447341616,0,0.218997073,0,1.676148936
TMEM50A,0.010081339,1.062175057,4.670722908,0,0.002214748,0,5.155805219
RP3-469D22.1,0,0,0,0,0,0,0.991607863
TMEM57,0,1.02458206,0.942072283,0,0.792788156,0,2.054955568
LDLRAP1,0,1.626385258,0.998806416,0,0,0,1.651584785
RP11-70P17.1,0,0,0,0,0,0,1.102117738
MAN1C1,0.609889559,0,0,0,0.36806826,0,1.108808267
SEPN1,0,0,0,0,0.621450005,0,1.243695856
MTFR1L,0.011578481,2.555261957,0.962171228,0,0.417995516,0,1.312205994
PDIK1L,0,0,0,0,0.000458743,0,1.336877043
ZNF593,0.801086056,1.618414591,2.355899024,0,0.143339969,0,1.257513022
CNKSR1,0,0,0,0,0.063845216,0,1.712470524
CEP85,0,0,0,0,0.041521487,0,0.581617073
SH3BGRL3,0.557086298,1.754822001,2.823588902,0,0.016003933,0,1.61483334
DHDDS,0,2.894610496,1.542759694,0,0.048489657,0,1.217023884
HMGN2,0.044357133,0.465830197,3.571729181,0,0.004860752,34.33489405,1.840129262
RPS6KA1,0.036174314,1.776514132,0.737292158,0,0,0,1.07359128
ARID1A,0,0,0,0,0.000451097,0,2.01229216
PIGV,0.002108322,1.810152992,0.987091773,0,0.218280504,0,0.821429408
ZDHHC18,0,0,0,0,0.019694533,0,1.574042714
SFN,0,0,0,0,0.145170741,0,0.199732365
NUDC,0.002157928,3.907760363,0.65947351,0,0,0,0.419331711
TRNP1,0,0,0,0,0.026996622,0,0.877833236
NPM1P39,0,0,0,0,0,0,0.397441257
WDTC1,0,1.323290177,0.951062018,0,0.00325916,0,0.452617533
TMEM222,0.009808878,1.788247014,0.684735114,0,0,0,1.008216498
ACTG1P20,0,0,0,0,0,0,1.216235633
SYTL1,0.211484745,0.078927243,1.469039675,0,0.690933954,0,2.540298299
GPR3,0,0,0,0,0,0,0.088298577
RP1-159A19.3,0,0,0,0,0,0,0.090295523
FAM76A,0.41890891,0,0,0,0.47023088,0,0.432217915
STX12,0.001795619,1.117791401,0.855406018,0,0,0,0.84726525
PPP1R8,0.74948105,1.686735454,1.003306221,0,0,0,0.55675618
SMPDL3B,0.022907153,0,0,0,0,0,0.287879824
XKR8,0,0,0,0,0,0,0.973949703
ATPIF1,0,1.326697526,0.852587402,0,0.887907541,0,0.485237796
SESN2,0.031201207,1.283208363,2.953981416,0,0.733996178,0,0.108245181
MED18,0.047983761,3.93035,0.568891848,0,0,0,0.442879143
PHACTR4,0,0,0,0,0.004287634,0,2.747827315
RCC1,0.134185441,1.342628784,1.944602377,0,0.614360096,0,0.850133983
RP4-669K10.8,0,0,0,0,0,0,1.145134752
TRNAU1AP,0.013843466,0.948571637,1.368363883,0,0.044874407,0,0.19847479
RP11-442N24__B.1,0,0,0,0.064443354,0,0,0.058995539
RNU11,0.121245949,0,0,1.371093604,0,0,1.38E-08
GMEB1,0.307359508,0,0,0,0.005912313,0,1.364319697
YTHDF2,0.010404551,1.685646498,0.574528484,0,0,0,0.521480522
EPB41,0.10375161,1.249837926,0.667591804,0,0,0,1.122141324
PTPRU,0.002004533,0.659580269,0.526498427,0,0,0,0.564097704
MATN1-AS1,0,0,0,0,0,0,0.353781544
ZCCHC17,0.031949497,2.749669975,0.832896597,0,0,0,0.312520525
SERINC2,0.111785384,3.47016506,0.840812986,0,0,0,2.742632167
KHDRBS1,0.034583964,1.230651747,1.008984195,0,0.038291951,0,0.60071961
TMEM39B,0,0,0,0,0.06161701,0,0.610966506
KPNA6,0.00233855,2.940382132,0.779139266,0,0,0,0.827784707
TXLNA,0.024392954,2.592504571,0.609265306,0,0,0.688764814,0.851941315
CCDC28B,0.027930627,0.688345004,1.482595773,0,0.005296206,0,0.304006646
IQCC,0.002280039,0,0,0,0.101451135,0,0.39333956
EIF3I,0.07041295,4.240739622,0.692988715,0,0,0,0.96424488
FAM167B,0,0,0,0,0,0,0.467015434
HDAC1,0.02835065,0.538011441,1.414929167,0,0.013473965,2.587292627,1.17138986
ZBTB8A,0,0,0,0,0,0,0.618418418
RBBP4,0.397208554,1.289036341,0.854044373,0,0.461504034,0,0.555191995
KIAA1522,0.204919862,2.701928228,0.1376984,0,0,0,0.377614917
S100PBP,0.112504288,0,0,0,0,0,0.478881974
AZIN2,0,0,0,0,0,0,0.623503077
ZNF362,0,0,0,0,0,0,0.361354703
RP11-415J8.7,0,0,0,0,0,0,0.682616911
ZSCAN20,0,0,0,0,0,0,0.684660194
ZMYM1,0.159067487,2.489434763,0.752994759,0,0.109706817,0,0.533470237
ZMYM4,0.026730561,1.772780777,0.608766621,0,0.053166314,0,1.018845296
RPL5P4,0,0,0,0,0,0,1.001701646
NCDN,0.030147169,2.918445659,0.442694281,0,0,0,1.029346065
TFAP2E,0,0,0,0,0,0,0.154840236
AGO4,0,0,0,0,0.135427825,0,1.836429293
AGO1,0.053097516,1.436922279,0.548733518,0,0.222118817,0,1.579149677
AGO3,0,0,0,0,0.068658992,0,1.063619898
ADPRHL2,0.008481597,2.849894883,0.657983663,0,0,0.954685375,0.634938916
MAP7D1,0.001882157,9.687757808,0.352363489,0,0,0,0.550380486
THRAP3,0.453327086,0.799019877,0.966935233,0,0,0,0.504901837
SH3D21,0,0,0,0,0.475522727,0,0.255419228
RP11-268J15.5,0,0,0,0,0,0,0.374439529
ZC3H12A,0,52.26702038,0.028123763,0,0,0,0.507842163
RP3-423B22.5,0,0,0,0,0,0,1.979528795
DNALI1,0,0,0,0,0.007877493,0,0.675984094
CDCA8,0.08579195,0,0,0,0.312320009,0,0.582945627
MANEAL,0.011316875,0,0,0,0.164038308,0,2.117359341
C1orf122,0.005332934,1.056498425,1.467548777,0,0,2.629045982,0.878895405
RP11-109P14.10,0,0,0,0,0,0,1.26E-08
UTP11L,0,2.202639166,0.977672413,0,0,0,0.631576669
RP5-864K19.4,0,0,0,0,0,0,0.287441655
AKIRIN1,0.019800184,2.783437622,0.514191571,0,0,0,0.914489239
NDUFS5,0.008876503,1.689993378,0.551166715,0,0,2.977955096,0.239844294
MACF1,0.075759115,5.175712517,0.47055641,0,0,0,0.978384274
PPIE,0.324959945,2.949652569,0.76537438,0,0,0,0.592565949
MFSD2A,0,0,0,0,0,0,1.042119977
RP3-342P20.2,0,0,0,0,0,0,0.423986821
CAP1,0.043088958,4.27126852,1.041924155,0,0,1.989073725,0.752060832
RLF,0.142797577,1.918035561,0.846247794,0,0,0,1.014487581
ZMPSTE24,0.780997672,1.087545449,0.661910666,0,0,0.523327997,1.074222858
SMAP2,0.020525206,5.183989756,0.616635993,0,0,0,1.312650718
ZFP69B,0,0,0,0,0,0,0.123388501
RP1-228H13.5,0,0,0,0,0,0,0.169265295
ZFP69,0,0,0,0,0,0,4.059392802
EXO5,0,0,0,0,0,0,0.25218358
ZNF684,0,0,0,0,0.101505891,0,0.495062653
NFYC,0.059374819,1.406552939,0.676297058,0,0,0,1.001380735
KCNQ4,0,0,0,0,0.01454323,0,0.316930384
CTPS1,0.056234191,2.916866885,1.694421676,0,0.516613832,0,0.908181732
FOXO6,0,0,0,0,0,0,0.18379998
RIMKLA,0,0,0,0,0,0,0.751451711
PPCS,0.695768352,1.681793451,0.631090796,0,0,1.067912611,0.777386192
PPIH,0.006331391,1.264402318,2.454759663,0,0.132670342,0,0.408256836
YBX1,0.002121532,1.646488638,0.95663422,0,0,2.545042413,0.511557349
C1orf50,0.762470241,1.462565171,0.656207884,0,0,0,0.651220294
ERMAP,0,0,0,0,0,0,1.282947299
ZNF691,0.949449087,0,0,0,0,0,0.57414685
SLC2A1-AS1,0,0,0,0.036783758,0,0,0.137042512
FAM183A,0,0,0,0,0.285499809,0,0.562709384
TMEM125,0.140320532,0.002956415,0.496966346,0,0,0,0.593036401
CDC20,0.043392668,0,0,0,0.21114041,34.29057421,0.536996006
SZT2,0,0,0,0,0,0,1.051647336
HYI-AS1,0,0,0,0.262559483,0,0,0.670108186
PTPRF,0.24516272,1.574433994,0.481527549,0,0,0,0.519263802
KDM4A,0.088050369,1.302693313,0.620218114,0,0,0,0.724323404
ST3GAL3,0,0,0,0,0,0,0.443070668
ARTN,0,0,0,0,0.964082386,0,0.810376947
IPO13,0.031264473,1.58831896,0.563124358,0,0,0,0.764916805
DPH2,0.020960351,3.422834702,1.464819216,0,0,0,0.500091109
ATP6V0B,0.121515263,1.021820983,1.300136966,0,0.911268994,2.305514861,0.831402168
B4GALT2,0.007553195,1.688137705,1.272563469,0,0.908650671,0,0.320407831
CCDC24,0.068038074,0,0,0,0,0,0.313795622
DMAP1,0.253121764,2.690125893,0.599561642,0,0,0,0.574907398
RNF220,0.025228618,2.150697016,0.965949155,0,0.056292,0,0.746713497
C1orf228,0,0,0,0,0,0,0.428102785
KIF2C,0.02652657,0,0,0,0.033530496,0,0.577117642
RPS8,0.025703168,1.559421093,0.892910281,0,0,0.674549927,0.796406057
PLK3,0,0,0,0,0.015141616,0,0.190850171
BTBD19,0,0,0,0,0,0,9.01E-08
UROD,0.124828019,2.884246893,0.959962817,0,0.004676429,2.585709589,0.276035023
LINC01144,0,0,0,0,0,0,0.052528088
TOE1,0.005415152,0,0,0,0,0,0.451254191
MMACHC,0.049861543,0,0,0,0,0,0.433410425
AKR1A1,0.023421253,1.218435389,0.290788418,0,0,0.385136389,0.657339909
NASP,0.001917372,0.754252083,1.806684124,0,0.230617191,0,0.286657235
TMEM69,0.232707238,2.165276917,0.638453453,0,0,0.469735103,0.680423812
MAST2,0,0,0,0,0.056350497,0,2.414244996
RP4-533D7.5,0,0,0,0.01431249,0,0,0.119777042
TSPAN1,0.041656417,0.218686783,0.551375045,0,0,0.224367499,2.336339652
RAD54L,0.005925134,0,0,0,0,0,0.172708967
UQCRH,0.023981347,1.674000843,0.946717136,0,0,0,0.714925675
NSUN4,0.046454478,0,0,0,0,0,0.848467197
FAAH,0.03090089,0.005920308,0.192401741,0,0,0,0.596276952
DMBX1,0,0,0,0,0,0,0.143042012
CYP4B1,0,0,0,0,0,0,35.26116752
CYP4X1,0,0,0,0,0,0,81.18777005
LINC00853,0,0,0,0.077264208,0,0,0.027661807
CMPK1,0.004009164,2.106854948,0.72681349,0,0,0.398574374,1.134990497
RP11-329A14.1,0,0,0,0,0,0,2.63E-07
CDKN2C,0.246286024,0,0,0,0.096081975,0,0.384501382
RNF11,0.060977095,2.669554858,0.375676836,0,0,0.724908633,0.607457919
TTC39A-AS1,0,0,0,0,0,0,2.095851967
RP11-191G24.1,0,0,0,0.649526765,0,0,0.77963363
OSBPL9,0.429040092,4.046489447,1.063091038,0,0.07690653,0,0.758701627
BTF3L4,0.058765221,0.953548578,1.418754712,0,0.355893463,0,0.419285718
ZFYVE9,0.157979735,1.905484217,0.778524263,0,0,0,0.484528567
PRPF38A,0.051743162,1.604089872,0.691958215,0,0,0,0.422801159
GPX7,0,0,0,0,0.068318662,0,153.0179748
ZYG11B,0.023801949,1.88177989,0.794896357,0,0.121529483,0,0.691658593
SCP2,0.014058835,0.620248928,0.987858051,0,0,0,0.546917253
TUBBP10,0,0,0,0,0,0,1.3037017
CPT2,0.00604197,0.573859985,0.831676534,0,0,0,0.523543955
RP5-1024G6.5,0,0,0,0.124475026,0,0,0.150401614
RP4-784A16.5,0,0,0,0,0,0,0.030561989
DIO1,0,0,0,0,0,0,0.006901907
LRRC42,0.380797361,3.368567172,0.640468686,0,0,0,0.54602368
TCEANC2,0,0,0,0,0.923799107,0,0.42355767
MRPL37,0.008224209,1.733443352,0.748189142,0,0,0,0.477718833
ACOT11,0,0,0,0,0,0,0.368635195
TTC4,0.022897153,3.096842265,0.737217512,0,0,0,0.525624385
RP11-67L3.5,0,0,0,0.156138177,0,0,0.387848843
RP11-67L3.4,0,0,0,0.079928851,0,0,0.48382022
TMEM61,0,0,0,0,0,0,2.55039394
PCSK9,0,0,0,0,0,0,1.198168333
RP4-710M16.2,0,0,0,0,0,0,5.74E-08
PRKAA2,0,0,0,0,0.041687963,0,0.996685393
FGGY,0.005498327,2.085120642,0.303160249,0,0,0,0.095765315
HOOK1,0.031254987,0.00516789,1.284778662,0,0.095460449,0,0.842113284
PGBD4P8,0,0,0,0,0,0,16.48025808
NFIA,0,0.997999857,0.394046003,0,0,0,0.603745857
INADL,0,0.472007023,0.504333178,0,0,0,0.940334729
USP1,0.014102294,0.71660267,2.364242636,0,0.003657091,0,0.618609222
ATG4C,0.686553359,0,0,0,0.012302159,0,0.413837112
ALG6,0.111300149,0,0,0,0,0,0.365504086
EFCAB7,0.187884831,0,0,0,0,0,0.370217615
PGM1,0.001260798,10.99445603,0.523888434,0,0,0,0.908473463
ROR1,0,0,0,0,0,0,1.408258252
CACHD1,0,0,0,0,0,0,0.009793117
RAVER2,0,0,0,0,0.001997202,0,0.194093086
AK4,0.020587388,0.398286622,1.011571867,0,0,0,0.453710648
DNAJC6,0,0,0,0,0.001546125,0,2.905996788
LEPROT,0.286420307,3.220463322,1.253262601,0,0.048102898,0,1.027765168
MIER1,0.238382634,1.896100459,1.580428581,0,0.017210544,0,1.350549642
GADD45A,0.033959982,14.76578439,0.967834812,0,0,0,0.526744062
SRSF11,0.279523674,1.368658522,0.716108169,0,0,0,0.756917792
HHLA3,0,0,0,0,0,0,0.084151612
CTH,0.007638928,0,0,0,0,0,0.459198792
FPGT,0.050668066,0.802092037,0.874965739,0,0,0,0.458562289
TYW3,0.001615768,0.668725032,1.174011783,0,0,0,0.608121421
ACADM,0.011250997,0.364429443,1.599385532,0,0.021957036,0,1.057087919
RABGGTB,0.053164486,2.01507176,0.746637336,0,0,0.658416198,0.986471344
TPI1P1,0,0,0,0,0,0,0.380454209
ST6GALNAC5,0,0,0,0,0,0,8.254559306
RP4-706A16.3,0,0,0,0,0,0,0.380334897
AK5,0,0,0,0,0,0,17.40191002
FAM73A,0,2.400639721,0.352596577,0,0,0,0.513759694
DNAJB4,0.006333754,3.34257051,0.539137046,0,0,0,0.654807089
PTGFR,0.101619926,0,0,0,0,0,0.157305171
IFI44,0,174.0783101,0.013479962,0,0,0,1.134634567
ADGRL2,0,0,0,0,0,0,51.45413184
PRKACB,0.058286328,3.114916718,0.019373509,0,0,0.057057853,0.226244246
RP11-82H13.2,0,0,0,0,0,0,0.494244522
SAMD13,0.053046593,0,0,0,0,0,0.276794476
DNASE2B,0.052688004,0,0,0,0,0,1.137829925
RPF1,0.021073092,2.084118305,0.554945396,0,0,1.413842315,0.396686277
CYR61,0,0,0,0,0,0,1.079528271
SH3GLB1,0,2.299292508,2.496811512,0,0.000249617,0,1.771992617
HS2ST1,0.062974853,4.646906704,0.984447658,0,0,0,0.477399533
LMO4,0.002710327,2.048802313,2.896665493,0,0.064130038,0,0.063560126
PKN2,0.1556159,1.065930861,1.030745932,0,0.006353535,0,0.861670523
TCEB1P19,0,0,0,0,0,0,0.485644887
LRRC8B,0.767749882,0,0,0,0.973938136,0,1.03604166
LRRC8D,0.078048123,2.964541746,0.460233199,0,0,0,0.162898651
ZNF326,0.386091011,0.626964122,0.701045532,0,0.105282699,0,0.898337657
CDC7,0.028725817,0,0,0,0.299282341,0,0.452694138
EPHX4,0,0,0,0,0.063865985,0,0.074833213
BTBD8,0,0,0,0,0,0,0.382592312
KIAA1107,0,0,0,0,0.028617267,0,0.351462747
RPAP2,0.14565029,1.811278821,0.454027022,0,0,0,0.469386946
RPL5,0.047348967,2.483826265,1.393050273,0,0.149292565,0.938453693,0.856287234
MTF2,0.434429735,0.893562473,1.120939258,0,0.028268362,0,0.735936118
CCDC18,0.058794533,0,0,0,0.095749794,0,0.235575926
DR1,0.084415249,1.420323772,1.849603871,0,0.007892403,0,0.835620605
FNBP1L,0.266216283,0.487170902,0.987343629,0,0.132924713,0,0.968809648
RP5-1033H22.2,0,0,0,10475734.76,0,0,74.80130498
RP4-561L24.3,0,0,0,0,0,0,0.020829882
RP11-148B18.3,0,0,0,0,0,0,0.164208046
ABCD3,0.115168029,1.078994503,1.393548869,0,0.346741608,0,0.490018295
SLC44A3,0,0.231653869,1.369564846,0,0.043696771,0,1.764937819
TMEM56,0,0,0,0,0,0,0.264653725
RWDD3,0.025299494,1.414572678,1.23355695,0,0.195603141,0,0.370142952
EEF1A1P11,0,0,0,0,0,0,0.653303503
PTBP2,0.018184609,1.769607951,0.568957068,0,0.03528397,0,0.551700162
SEC63P1,0,0,0,0,0,0,0.808364316
SNX7,0.499866373,1.057133835,2.631760091,0,0.006464528,0,0.216557204
PALMD,0,0,0,0,0.010821674,0,3.734571737
AGL,0.083066453,0.941218806,1.13070341,0,0.040060517,0,1.05382509
SLC35A3,0.017281528,0.855132086,0.500504966,0,0,0,1.488377646
HIAT1,0,1.866233827,0.557222463,0,0,0,1.044776818
TRMT13,0.156155925,1.986329053,1.165604259,0,0.322533622,0,0.831091006
RTCA,0.973915789,2.671485721,0.493832641,0,0,0,0.636851261
CDC14A,0,0,0,0,0.016248503,0,0.317709941
RP4-549L20.3,0,0,0,0,0,0,0.206599195
SLC30A7,0.067804069,3.123746075,0.951368556,0,0,0,1.151992345
RP11-421L21.3,0,0,0,1.506037877,0.005898026,0,0.395222854
RNPC3,0,0,0,0,0.07122012,0,1.065539223
SEPT2P1,0,0,0,0,0,0,1
PRMT6,0.005155517,0.688777088,0.753859666,0,0,0,0.163208198
NTNG1,0,0,0,0,0,0,0.004901289
RP11-270C12.3,0,0,0,0,0,0,0.770174648
FAM102B,0,0,0,0,0.000492433,0,0.406366277
PRPF38B,0.301164843,2.067695658,0.726065342,0,0,0,0.856001391
STXBP3,0.183061997,1.329827687,0.748722787,0,0.247918528,0,0.499499886
GPSM2,0.035601019,0,0,0,0.000104243,0,0.76239852
RP11-20O24.4,0,0,0,0,0,0,0.448776354
TMEM167B,0.167035676,3.442134482,0.920330031,0,0.138798171,0.993060074,1.208941138
KIAA1324,0,0,0,0,0.012741971,0,41.13921903
SARS,0.018040526,1.550855446,2.059318856,0,0,0,0.769148899
CELSR2,0,0,0,0,0,0,0.141327673
ATXN7L2,0,0,0,0,0.504969842,0,0.461814489
CYB561D1,0,0,0,0,0,0,0.6936328
GNAI3,0.005407824,1.841180462,1.256662333,0,0.187565102,0,0.870921565
AMPD2,0.028318046,4.927835177,0.48277394,0,0,0,0.751046335
GSTM4,0,0,0,0,0.00688851,0,12.07273841
CSF1,0,0,0,0,0,0,0.973617291
AHCYL1,0.178108869,1.815883122,0.748299259,0,0.595051385,0,0.88445423
STRIP1,0.012894009,2.269574185,0.686581062,0,0,0,0.855649617
RP4-773N10.4,0,0,0,0.513015157,0,0,0.788265926
SLC6A17,0,0,0,0,0,0,39.26236927
RBM15,0.112978626,1.248230151,1.186391056,0,0.358188153,0,0.765249471
RP5-1074L1.4,0,0,0,0,0,0,0.884369845
CEPT1,0.260451677,1.089604206,1.019068109,0,0,0,0.638777629
PIFO,0,0,0,0,0,0,0.562340393
ATP5F1,0,0.986309574,0.939321532,0,0,2.008189059,0.623351817
RAP1A,0.068343138,3.024460622,0.537914551,0,0,0,0.98677099
