gene,fc_1,fc_2
TARS,0.326820857,1.232844227
BCAP29,0.2573388,0.667820838
TM4SF1,1.670621052,0.022887003
KLK2,0.740936338,0.013468275
RPL13AP3,0.502172846,0.46281295
GEMC1,0.089201764,0.680869053
ECHS1,0.343371022,1.515016211
TMEM66,0.28069598,0.902949474
PINK1,0.447280146,0.864790577
ARPC1A,0.947338117,1.605059196
CCT5,0.735418606,0.99739246
NACA2,0.001691157,0.001153688
MARVELD1,0.204715826,0.264417412
KAL1,20.67696225,11.07546835
TARP,163.4242836,0.998667647
LOC339505,4.067599405,0.153269222
SDHA,1.071615822,2.082458527
RPL26,5.905254706,5.94310142
LOC730102,537.9396706,699289999.6
ZNF622,0.366597447,1.252261613
MRPL36,0.742294073,3.002498795
LOC153684,44063643,9.834772758
CLPTM1L,0.311486961,0.676304682
C17orf48,0.276596794,0.214576905
HIST1H2AC,0.515676751,1.47719636
LOC646870,0.189422546,0.084087326
PRKAA1,0.474515859,1.080770521
C22orf36,0.330959574,0.375234486
SNORA11,1.050796634,0.175891165
CT45A4,1,1
RMST,14.23658939,0.005412456
AHNAK,1.939833642,0.772095598
CYorf15A,0.707773569,0.751469197
SNAI2,11.84599081,43.5352433
CYorf15B,0.704312041,0.49209711
SF3B5,0.670989862,1.912383937
RPLP0,5.781103685,4.790309938
RDH11,0.213633914,0.508807355
TMBIM6,0.388066164,0.629937444
TMEM106C,1.111498939,2.233809339
TDP2,1.158891346,0.211548765
GBP4,2.521911091,36.5850795
03-Mar,0.120278496,1.730920287
RPL10,2.148424178,1.257441535
RHOC,0.152929985,3.856853863
RPSAP9,2.463157636,1.429320583
NCOA4,0.511928189,0.961116718
SCARNA10,0.285299506,0.569640991
BRIX1,0.705775848,0.660363727
CCDC48,0.016401625,0.019453415
C14orf49,0.491214395,3.153274558
SNORA14A,15.76194876,4.221387878
C5orf22,0.525370883,1.343955885
C5orf51,0.352060496,0.360282725
SNORD2,0.149375138,0.278949975
FLJ23867,0.55942436,8.859492757
LOC283392,692680453.3,28.98799735
MCM7,6.154564702,4.330096768
EEF1A1P9,0.699362241,0.574094982
C8orf83,0.279744322,0.379002765
SCARNA5,0.354891265,0.94575505
D4S234E,1.971028326,0.598988652
ANXA5,0.380097077,2.30474
RPS23,0.645813534,0.894139756
RPS10,17.73586116,16.3169104
RPS4X,1.192388581,0.510124275
TMEM59,0.357425648,0.773643067
LIMCH1,0.083688348,0.305161628
AKR1A1,0.195525455,0.385136389
C14orf159,0.019409135,0.220298961
FLJ36031,0.782371689,3.451601717
CCNG1,0.293966034,0.713190584
EIF2S3,0.762220747,0.744042778
ANXA1,2.056397211,0.328427391
SNORA20,2.677388611,1.569770127
RPL13A,0.409443396,0.392747493
LOC340074,1762546.68,1762546.68
ELOVL5,0.660898995,1.433904811
SNORD37,6779022.847,6779022.847
PECI,0.216956603,1.582653397
EIF3L,0.797928649,0.520726475
RPSAP58,0.127939693,0.156041107
C20orf54,0.618614152,0.297078026
RNF5P1,0.003197803,0.005413644
ODZ3,7.62674722,1.397573223
ANKRD13A,0.52324758,0.336630661
NRN1,0.87562564,4.349324535
HBP1,0.637974338,1.054093143
APOD,0.061387692,0.006758962
CMPK1,0.183554596,0.398574374
LOC100049076,881273.8401,881273.8401
METTL7A,1.57790919,1.273495647
CMTM6,0.278253931,0.550596084
NCRNA00161,0.024802443,0.70810382
LOC728613,1.122827049,2.108398889
EMID2,0.044600886,0.034710977
TRIM53,0.338966741,2643819.52
PRDX4,0.676604904,1.057656477
SNORD67,6.779332639,5.900864477
LOC100506548,3.539804701,0.602089365
WIBG,0.581393693,1.54658736
CTNNB1,0.339389281,0.726735976
RPL17,4.697249005,4.235121894
RPL13,1.886348451,3.94044187
TCP1,0.807015068,1.290515076
DNAJC21,0.923553114,0.808949513
KIAA1683,0.176944862,0.127877753
FAM105B,0.645197492,0.872725034
ENPP5,0.164049515,0.454758715
TMEM133,0.374032189,0.993829868
SMS,0.789339091,0.464106695
PMPCB,1.046688487,0.943994021
SNORD32A,1.785224387,1.553894405
06-Mar,0.515613626,0.343398565
ARL6IP5,0.168798424,0.352984218
SNORA48,0.248048486,0.29155848
RPL13AP20,0.55467272,0.191379406
FAM43A,0.037815198,0.103078402
LASS4,0.019398092,0.083559694
C10orf81,0.286817982,0.360608454
CANT1,0.12434756,0.124881796
SNORA63,0.388459947,1.439009859
PPP1R3D,0.137179724,0.178989059
RPL22L1,0.268139629,3.648715268
HOXD8,0.271173662,0.005388927
NDUFA13,0.487304319,1.994062905
C22orf13,0.276169354,1.012303537
IDH1,0.727800317,1.143693665
DDX3Y,0.541086722,0.723551178
RPL3,1.844617964,1.186905159
C5orf28,0.70282917,1.093746159
NCRNA00188,0.541650583,0.241256237
DNAJC10,0.518280201,1.090939473
LOC442454,0.000835511,0.001178523
H3F3C,0.002227789,0.00315036
LOC653653,0.271173363,0.091961546
C9orf103,0.244424938,1.867139305
UXT,0.879407471,0.854060946
SNORA79,0.274058149,0.36166591
C17orf44,2.670395823,19.05979101
SEPW1,0.076250169,0.569381697
RPL14,6.832831083,2.168439971
CREB3L4,0.742003331,0.738269638
LOC221442,20.22500885,4.463048411
C10orf26,0.305896739,0.943118786
DCXR,0.227071855,0.631583425
C4orf34,0.299844597,0.634364675
C6orf48,1.314213942,0.727247245
SNORA16A,1.616610202,0.938086205
RPL19P12,0.095164438,0.045558149
FAM38B,19388003.48,3.709114523
RAD1,0.635112688,0.539918431
C17orf59,0.772254471,9.662665448
PP14571,0.629509513,0.254010745
LOC100132356,0.25761467,0.238545611
RPL41,62.21793217,61.90591037
RPL5,2.325698436,0.938453693
CD9,0.22702524,0.657857615
RPL24,8.487342421,4.543206994
CANX,0.782305315,0.551755227
SNORA28,0.651858955,0.556685363
LOC401093,6.115523262,4.731619306
EEF1A1,35.80826558,19.01851926
C14orf19,0.013468879,0.012001764
ST13P4,0.432474716,0.682287511
ATP5EP2,0.001018874,0.001292632
EIF3K,1.031917479,0.91595514
RHOU,1.024508648,0.734675407
RPL6,8.684865404,7.583460187
SNORD47,2.35864294,0.887787774
CD63,0.865192239,2.897020638
IMPDH2,1.16295472,0.574374718
SMPD1,0.068405925,0.847195601
SNORA50,0.566669451,0.850190396
ZAK,2.535312002,0.157004496
SNORD23,2.584620738,2.768867327
TM7SF4,2203183.1,0.737608193
SSR4,0.342961215,0.868156615
IARS2,0.649362652,0.924100597
RPS20,1.252725662,0.987462139
SRP9,1.288806468,3.952842786
PCDHB8,1.286924245,0.777525725
COX4I1,1.259464037,4.522081799
HIST1H4B,0.728094298,1.935968666
SYT4,51.10010519,14.20354108
GNB2L1,0.903877796,0.34085229
KLHDC2,0.533322337,1.001653572
TMED2,0.784799648,0.958523691
FRMPD2P1,4.745530308,2.753736142
SLC39A6,0.751273427,0.499417217
SNORA74B,0.462125782,1.20938517
SNORA36A,4.711636486,1.414172779
LOC286002,0.225977793,0.505788446
SLC25A1,0.365999366,1.341262268
CD151,0.488454762,1.618793394
C8orf40,0.550370064,1.399020575
ATP5J2,2.369715131,5.158551536
RPS11,1.369112172,0.573909727
SAT1,0.08979372,0.137381135
RPS15,2.870045002,2.491126338
LOC157381,29963277.56,6.687645547
SNORD59A,571636437.8,571636437.8
SORD,0.690630765,4.281891785
LASS6,0.408669911,0.280757067
COX6C,0.638277566,1.570662389
IFT57,0.836180703,0.972423875
SERP1,0.201887125,0.519376619
LOC100131320,0.067543174,1.27458679
CREG1,0.385693976,0.84161261
GNAI2,3.386108861,6.694941317
STRA13,0.513791867,1.300648956
SNORA33,0.379509727,0.234311114
RPS12,3.405782567,2.889825596
PILRB,1.580197318,0.758479333
PAGE1,0.052598382,5.310729037
PRDX6,0.53805318,0.975373093
PTTG1,4.130425521,52.13043799
HPS6,0.346261493,1.615929132
LOC727677,5.423463099,1.88827651
LPHN3,67417373.27,1.003147022
CCDC90A,0.369588488,4.459001303
ATP5A1,0.521720534,1.158771526
ADRB2,0.05502433,0.342041294
PGM3,0.561198427,0.630319658
TAX1BP3,0.140869265,0.61910714
ELL2,3.646735119,0.848940738
MRPL18,0.436527343,1.232710524
RPL18,1.253792144,0.477062082
C11orf75,0.617851922,0.670906911
C3orf1,0.256504966,1.308339492
GLT25D2,3.446160962,7.873966231
KIAA2022,0.294411762,2.185265313
LHFP,11897184.34,15.93231507
PFDN5,0.91139278,1.445905674
RPS28,4.805969088,10.47833174
EIF2C4,0.388705138,0.447930434
RPL13AP6,0.713614021,0.380700966
SNORA66,7.213634146,1.877798577
GOLPH3,0.238552496,0.258666693
C1orf66,0.898190128,2.316089438
EIF2B5,0.943124874,0.854670319
C21orf96,53757644.24,35.99525208
CHD3,0.326813981,0.571873625
LOC728739,0.007856846,0.018358252
NDUFB11,0.385986327,0.754749703
CALR,0.497535831,1.694089111
PURA,0.082162812,0.633258334
NDUFB9,0.751278053,1.142436501
C12orf64,5.762432792,1.302788336
UQCRB,1.659642923,2.101052546
ZNF498,0.843870965,0.707152987
NACAP1,0.135586739,0.059008685
HIST1H2BC,2.051758431,9.828501737
RPL34,2.8646677,2.70235744
NSUN2,0.676425766,0.538987548
TMEM147,0.280985519,0.591129041
BAMBI,0.073022922,2.001922978
RPS8,0.708793515,0.674549927
OST4,0.192426487,0.435241096
DMXL1,0.137275454,0.165557668
HIST1H4E,1.064363702,2.336373668
SNORA29,14.06711554,1.323707516
KIAA0947,0.727656161,0.452183225
FASTKD2,0.645886226,1.14165388
METT11D1,0.963454942,1.78362999
FAM175A,0.87940747,0.337341477
C6orf35,0.563245347,0.982366199
MAFB,0.20877265,0.291281312
POP5,0.388325844,2.97357302
ASAH1,0.173219437,0.549970962
FAM75D5,4847001.62,6.490943969
MOSC1,0.200794011,0.314642165
AP2M1,1.022861133,2.704546625
C4orf14,0.413344232,0.528924691
EIF6,0.483365168,0.736016587
SETD6,0.978027646,1.000443122
MYL6,0.944756831,3.094197047
FDPS,2.230029419,5.679147921
ISCU,0.630629014,1.075668359
NEFL,0.00977202,0.002440267
ERP29,1.661497709,1.798120676
UBB,0.26559076,0.655978386
SCD,1.596913206,1.742830134
LAMP1,0.314201438,2.511385475
C2orf7,0.804327662,3.59183062
C11orf41,35691551.02,3.414071568
COX7C,0.58090547,2.237954353
MLF1IP,3.549253052,12.82544026
TRPV6,0.007916442,0.016947704
RPL23,0.819177655,1.301416625
MRPL3,1.056034878,0.809354612
MYCL1,0.452632125,1.229806407
IDH2,0.308840118,0.541768252
HIST1H4C,2.834447761,3.083948821
C1orf122,0.406597026,2.629045982
STBD1,0.333821445,0.526179373
ENDOG,2.098881522,6.432773566
N6AMT2,0.628841592,0.998322416
SNORA77,1.14016057,21.83319644
TP53INP1,0.115484277,0.076177239
ADIPOR1,0.508545077,1.714477999
NANS,0.557554709,1.38827642
HIST1H2AG,5.039304268,17.20121352
SDC4,0.096464828,0.16172029
APRT,0.462580645,1.424346682
C3orf25,0.338966677,1.844020121
DYNLT3,0.37467085,1.308791548
UBXN6,0.498109001,1.196913007
CYBASC3,0.176764835,0.366332351
C13orf40,30.84595808,2.334689975
RPS18,4.474134124,2.343790402
TPI1P2,0.142282308,1.74460343
TCL6,2.63351008,0.685042934
ARL1,0.799391972,1.961006229
PRELID1,1.723030505,3.144208483
TENC1,0.193410388,0.923199822
KIAA0114,0.237997866,0.491650056
COQ9,0.67951317,2.703224553
HSP90AB3P,0.002583013,0.002689342
C4orf32,0.303624164,0.304716793
FDFT1,1.216410066,4.589435319
RPL37A,1.306549754,0.912333341
ST13,1.696980335,2.014279372
RNF14,0.453427345,0.892146611
DLD,0.604325171,0.95707478
PDCD5,1.008507899,2.109959938
TRIM35,2.193928628,6.032499059
LOC100329109,0.629231209,0.363043686
C5orf32,0.078192071,0.867248319
FLJ35220,1.161274654,0.292670243
ZDHHC12,0.283294382,1.897718101
USP17,440637.42,440637.42
BCAP31,0.266228456,0.561898387
LOC100130331,0.234048413,0.159929987
OS9,0.638566067,1.380225295
CMAH,1.113747573,0.61690862
EIF4A2,0.77555591,0.616621295
EIF4B,4.77097204,2.596472526
SCARNA4,0.799688577,0.344812102
CAT,0.284817922,2.132408346
SLC35B2,0.727260552,1.270785496
15-Sep,0.297573354,0.561345203
FSTL1,0.26016556,0.039196311
FAM115A,2.822045341,3.651536097
RPL15,1.70788953,1.111791446
FAM58A,0.430824034,1.584667729
GOT2,0.530426948,1.20246587
HIST1H2BK,1.43084747,9.611257112
EIF3D,0.692841421,0.398816052
HMGB2,11.48972259,20.45790131
C12orf62,0.418989966,1.866085458
GNB2,0.487825033,0.501573515
HSP90B3P,0.004345727,0.005819395
TCEB2,0.509705417,2.29101883
ERO1LB,0.16133239,0.465260499
CRELD2,1.319495201,15.61288837
RPL10A,2.172829004,2.31836032
C19orf60,0.533521484,1.071419827
RPS5,1.838035825,1.196707961
MBNL2,10.03774806,0.276236389
C12orf41,0.796868982,0.803573057
LGTN,0.718466254,0.762054545
NHP2L1,0.513261242,0.802006966
MTERFD2,1.068196064,0.992821108
ALDH9A1,0.398755545,1.205296503
COX7A2,0.770990597,2.841669485
BTBD3,0.888503514,1.373340265
LOC401397,0.603685623,1.555154033
C5orf62,0.057363599,0.027739114
MAGEH1,5730385.655,0.023553876
DDX49,0.737558775,1.024707875
HERPUD1,0.602936329,0.748014199
COX6B1,0.356603948,1.126212255
RRM1,2.988091194,6.991046749
CECR6,4.714717909,0.305010921
CHPF,0.232490103,1.025113745
ORMDL2,0.359006197,1.547828089
MTCH1,0.262461829,1.053192331
ZNHIT1,0.605660248,1.775512437
MMGT1,0.392446319,0.718178432
TRAPPC5,0.226805966,1.584307806
GPR89C,1,1
KIAA0528,4.363351655,0.91772295
SEL1L,0.517883395,0.961267802
CLK2P,0.025193473,0.017590658
HIGD1A,0.954363907,4.495041041
KIF20A,3.747122253,10.29969082
EIF3M,0.423268379,0.574393302
RWDD2B,0.523269676,0.629295969
GPR112,19388003.48,2.163650311
SERPINB6,0.326172812,0.534452723
UQCRQ,1.056321388,3.136400793
MYL12B,0.819048458,2.789851493
C19orf2,0.321953323,0.328043394
TALDO1,0.376344295,1.057026806
LOC650226,20.40155516,848665746
P4HB,0.247722705,0.600596218
MRPL41,0.148556623,0.9343036
GUCY1B3,2.282375421,0.1095565
KIAA1409,73.9625132,0.328461406
PSMD10,0.352478616,2.954627301
EIF5,0.472320605,0.508944125
RG9MTD2,0.723942638,0.885129726
CBLL1,0.700158345,0.748478907
EIF3IP1,0.011016418,0.01997689
TM9SF2,0.610951885,0.558965273
RNF139,0.367908486,0.47790389
CYB561,0.155827335,0.905030005
C9orf142,0.908127087,1.546285014
NCRNA00099,26438186.2,1.475216183
CLDN8,0.021768515,0.001914978
TWF1,1.956896503,3.72757366
TCEAL4,0.51654117,2.235232647
QARS,1.159193458,0.444895434
C6orf57,0.446277711,0.333195387
WBP5,0.42743175,18.99440514
NACA,1.224830622,0.77187266
IRX2,0.013558702,0.017990488
SLC25A5,1.696504714,2.527163628
SLC39A9,0.211731352,0.492691358
POP7,0.620986915,1.497283153
POTEM,24921675.78,24921675.78
PSMA2,0.733881257,1.291625729
AARS,0.863847217,3.172924004
GUSBL1,1.710974538,2.050792347
COPS6,2.276469242,1.922497856
SNORA6,2.753948878,1.815272983
TUBA1B,3.389984343,16.1544377
CD24,3.035522228,0.037927359
AQP3,0.60922386,0.697613358
COPS7A,0.449381391,1.103135019
HSP90AA4P,0.254225046,0.259062413
C6orf130,0.541371207,0.939062361
EEF1B2,3.688868051,3.048249802
CNIH,0.588686396,0.561441509
FLJ42969,2203183.1,0.147521678
SSR2,0.768794048,2.195012623
LOC121456,0.031751309,0.025686119
ESYT1,0.811890329,2.697074149
SNORA81,0.453552124,0.302791356
ODZ2,4.067599764,16.52241924
TMPO,5.491947717,4.629747076
NDUFS1,0.722177483,1.201210625
C6orf70,0.209561551,0.329785654
SEC11C,0.425609258,2.032573179
SCARNA11,4.026334368,1.7409463
POLR2L,0.488775699,1.626682247
SNORD45A,2.862385094,3.636208595
UBE2MP1,0.003182788,0.005292259
HSP90B1,1.7184577,1.872866603
CCDC72,26.85205408,37.33116541
ARMCX6,0.795891118,2.018457377
LMAN1,0.186579589,0.259465394
RHOA,0.744703303,0.949049053
TMEM115,0.272415615,0.472376929
SPATA20,0.253701117,0.471183456
RPS14,2.535247831,2.065035866
EIF4EBP3,0.640270356,0.740578343
PDIA6,0.56355263,1.144207747
ATF4,0.886196883,1.161182243
LOC90246,1.000219712,5.473785637
GAS5,7.997340128,1.857360898
RGAG4,0.144060837,0.177548155
LOC222699,0.274515254,0.762471303
POLR2J,1.563244254,1.821697901
RPL9,43.8788561,37.94008523
RABGGTB,0.273985815,0.658416198
FZD1,1.182598307,7.474428251
C10orf79,1.189409784,9.276159082
SLC38A2,1.35946643,2.313482069
C3orf75,1.037893372,2.349912183
RPS27,465.4208622,308.8695193
SNORD45B,1.768982237,2.526780581
AGPAT1,0.270947538,1.560559286
C22orf28,0.414582295,0.974510973
GLRX5,0.312772366,0.871659419
MRPS21,0.570167501,1.467397763
RPL32,3.590148368,1.923551516
PA2G4,2.229210494,3.405618793
GLUL,0.3296075,0.805666541
CTAG2,217164932.3,217164932.3
TOMM20,1.700694957,1.493229375
FAM195B,0.29908823,0.414904563
CXCR7,0.001248496,0.022059314
C10orf58,4.047949624,1.112657352
ATP6V0B,0.258246385,2.305514861
BUD31,1.041616288,1.847243261
SSR3,0.40508578,1.373030499
FZD4,1.065468324,0.128939838
NDUFAF3,0.180205745,0.837697708
ATL3,1.03589201,0.487871375
MEAF6,0.602746448,1.581563124
RRM2B,0.225240663,0.58212614
HSP90AB1,1.006680697,0.914801807
REEP5,0.426863305,0.614412286
NDUFB7,1.231061907,1.455139297
MRPL24,1.180196003,2.361316868
H2AFJ,0.002081874,0.002318199
TUBA1A,2.141563898,3.578166563
ACRC,1.923864787,0.363396371
EIF5AL1,0.353545888,1.022114086
AP1M2,0.379003098,2.37557911
C3orf26,1.807822166,1.721719135
ALS2CR4,1.45392652,1.062362356
RCN1,1.144333802,0.984847072
SCARNA16,0.575909232,0.288541089
TMSB10,18.35735061,39.94046755
UBE2J1,1.604409214,0.440361028
DKFZp686O24166,2.03573137,0.955378117
PCDHB3,2.641115021,0.280066436
H3F3B,0.645640591,2.387497554
RPS26P11,0.762674985,0.442564874
YBX1,3.084783942,2.545042413
PFN1,0.329948765,1.891926764
RPL7A,1.537174372,1.101750903
LOC729678,0.08950709,1.634085626
C9orf119,0.262991372,0.783557463
FKBP8,0.353908239,0.58611284
YOD1,1.410101289,2.392071004
ID4,80.48915498,0.228172598
MRPS35,0.578411583,0.652270291
LOC100131801,1.352728045,6.113636374
GTF3C6,1.615341099,2.590950484
MGAT2,0.367463854,1.165896681
FKBP4,1.248335334,0.883838896
LRRC16A,0.820605719,0.944652771
KIAA0494,0.383649457,0.711841373
OXA1L,0.428206287,0.690804641
CD47,0.569497103,0.320110004
DUS2L,0.228709372,1.249355519
SNORD97,2.443235978,6.966581373
PHPT1,0.391542823,1.580465548
LOC100306951,0.326887668,1.091912168
PKI55,3.370569838,0.610851991
FRAT2,0.170060785,0.234997256
PPPDE1,0.824789668,1.046449665
ZNF302,0.410315244,0.445872525
PCBD1,0.182429975,0.60874147
RNF141,0.337556913,0.784476484
DDX26B,1.057417849,1.346252745
GPR125,1.827998752,0.648415227
BRP44L,0.439153847,0.940562093
DCAF13,0.677933317,0.44866776
SCARNA7,1.826745063,11.00998898
ATP5D,0.41644475,0.519077281
GPRASP2,0.282505004,2.4004651
CS,1.28221487,1.44134131
GPR133,0.338966666,0.75868263
CRTAP,1.063428272,0.510802114
CDC42,1.714841141,2.789080602
CHMP4A,1.953409306,2.821163959
PEX11B,0.411105718,1.469004761
GPR126,0.017175244,0.553522127
RALBP1,0.986282292,0.79830798
GUK1,0.371428047,6.051664491
CCT3,0.651767602,1.003613051
SNORA75,1.735186453,0.052883949
IL6ST,0.121145841,0.125330873
CCNI,0.184674836,0.213685196
EEF2,0.510668818,0.602739914
BBS10,0.953622885,1.570430993
ATAD2,3.349431985,4.962846041
MTRNR2L6,0.107974964,0.319213185
ID3,0.370785367,2.533378785
RPL27A,3.948837811,1.519813922
MARS2,0.497374839,1.357931935
KIAA1009,2.634158786,3.401162674
MST4,0.58411609,0.937051723
TTC3P1,0.028413711,0.017672222
MMADHC,0.123467825,0.167748185
SEC61A1,0.253719848,1.358544001
UQCR10,0.338729452,1.595915713
KIAA1644,3.050699382,15.93231507
NRAS,0.318165841,0.824279865
FAM64A,6.29509495,46.02673971
ATP5O,1.201701032,0.99589891
SNORA45,7.43379948,3.504867838
C7orf59,1.620586747,2.681219809
C1orf43,0.569720078,0.861600747
MCM3,2.717620215,3.85666801
LEPRE1,0.191011235,0.407878478
ARFGAP3,0.201475625,0.456088261
C19orf42,0.270263057,0.665314508
C7orf60,0.264748468,0.358856667
RPS9,1.294472388,0.756051694
ROMO1,0.154830924,1.141060606
C1orf128,0.933345163,0.783858127
POLR2B,0.597741606,0.815920699
RPL12,6.454868097,2.961345987
ZNF322B,2.857004471,2.486792897
LAMP2,0.149339153,0.563778213
CLU,1.412240091,0.762695928
02-Mar,0.06717703,2.923610189
FAM45B,0.010088296,0.019347102
GABARAPL2,0.478466431,1.068396969
PTMS,0.527472414,1.013773363
HIST1H3B,4.160045324,14.61682109
JTB,1.155491609,1.851622061
RPL22,9.938958854,1.400995182
KLHDC9,0.781566432,5.340282534
PTPMT1,0.410687929,2.00700498
FAM5C,3.287976391,19.07945491
SERINC1,0.459715337,0.716107723
EIF5A,1.767646498,2.118770899
CCNB1,1.425659642,4.649088684
TCEAL8,0.324250592,1.907108049
EZR,1.215529034,0.546320289
RPL7,55.60623957,18.51148636
CD164,0.44418617,0.499223345
HIST1H1C,1.019062749,3.392588181
RPN1,0.657723313,2.1000769
GSG2,26.63921091,73.42642652
C10orf84,0.769604786,1.545597144
FZD5,1.408973583,0.856242981
C7orf63,0.282393421,1.007560723
LASS2,0.510808834,0.876879246
C6orf1,0.515818827,1.259330909
RPL19,1.539732449,0.635878698
DUSP23,1.478350373,61.25096402
ARL6IP4,2.048620765,2.179289448
EMP2,1.098362416,0.454198178
ARPC5,0.773801572,4.121910535
FLJ39653,0.29542966,0.105372589
NUCKS1,1.097000757,2.506023437
VDAC3,0.64760674,1.354388973
HDLBP,0.461842071,0.884977968
SPDEF,0.534485587,0.279496164
SRGAP2P2,1.527824161,3.196301775
TBCC,0.453269367,1.364019006
NET1,0.837519432,0.317664069
C14orf156,0.462771857,1.662644894
ZNF761,0.445910884,0.119286039
C14orf179,0.523373046,2.733325106
YWHAH,1.201860352,1.673419278
RPL11,3.002380161,1.292381974
Sep-02,0.677253256,0.909238762
PDLIM5,0.441059882,0.206682119
DNAJB9,0.510957137,1.013993469
CALM1,0.449472035,1.384783773
FBXO28,0.173495661,0.623554542
CAPZA1,0.600469502,1.641653035
LOC25845,0.267664823,2.022542793
C19orf10,1.701030984,5.012925164
EIF3G,0.584809839,1.37714203
RPL30,2.508543267,0.782841709
C14orf166,0.9482464,1.442993057
RNF41,0.243789716,0.757165899
ZG16B,0.243662072,2.14500625
AZIN1,0.636126557,1.07030042
SNORA56,6.157894215,2.923610299
M6PR,1.171971069,1.734867488
NDUFA1,0.50782285,3.278370678
PSAT1,1.386081737,4.425648509
C20orf151,0.847416642,0.773883914
TXNDC17,0.623106872,3.118095329
POLE3,1.274965805,1.004572056
C1orf115,0.223915097,0.093091314
RPS19,1.197328019,0.28693306
MMAB,1.31950989,2.809516206
NDUFV2,0.701334413,2.297418605
C1QBP,0.646534524,0.93787751
SDF4,0.232611591,0.466999646
PAK7,1.468855391,0.319630217
SEC62,0.630625686,0.468065372
MAGEA6,0.315488449,169.1578543
GABARAP,0.328526964,1.866857236
FAM134A,0.571538797,0.674018747
CEBPG,1.195066503,2.552690762
MAGEA1,67.14927125,584.478867
NT5C,2.176726046,4.981479124
RPL36AL,0.500843013,1.594226265
COPG,0.48738774,1.291109879
SELT,0.478638972,1.71948556
C14orf45,0.122065557,0.467751485
ZNRD1-AS1,0.724458149,0.475266702
HIST2H2BC,2.231530442,46.61679685
TMEM111,0.109881692,0.421180996
PYCR1,0.532978042,0.690425078
MAGEA3,0.348870491,644.3713429
SCARNA21,1.03223963,2.013521973
LOC100129316,9694002.241,0.998607896
THAP5,1.521418102,2.89800654
YIPF6,0.384603147,0.538779656
GATS,1.634062366,0.671688284
RBM3,1.224663152,2.017994657
LOC653786,9253365.821,4.130603989
YIPF3,0.621548145,0.712160392
RBMXL1,0.48268474,0.574883878
B3GALT6,0.35849309,0.334790739
EIF1AX,2.596957545,1.660954294
ADAM1,2.418828262,0.811616601
RWDD2A,0.154877451,0.208178663
NPM1,7.705953943,6.714692052
RGL2,0.341337056,0.245270074
LOC100132715,0.022950871,0.032782588
RPLP2,3.271048602,2.067866251
HIST1H2BO,6.02015986,9.906998822
MEA1,1.42634484,2.425012938
DVL1,0.60412606,0.819667588
NONO,1.299997498,1.798525088
RPS3,1.838067175,0.483974792
CCT2,0.493824891,0.674356094
UROD,0.832545184,2.585709589
RPL29,10.06833786,9.305433939
