sample	treatment
GSM1527176_72_E208-Tn8_N.CEL	Normal_36
GSM1527177_73_E209-Tp2_T.CEL	Tumor_37
GSM1527178_74_E209-Tn8_N.CEL	Normal_37
GSM1527179_75_E218-Tp1_T.CEL	Tumor_38
GSM1527180_76_E218-Tn7_N.CEL	Normal_38
GSM1527181_77_E245-Tp1_T.CEL	Tumor_39
GSM1527182_78_E245-Tn7_N.CEL	Normal_39
GSM1527183_79_E246-Tp1_T.CEL	Tumor_40
GSM1527184_80_E246-Tn7_N.CEL	Normal_40
GSM1527185_81_E249-Tp1_T.CEL	Tumor_41
GSM1527186_82_E249-Tn7_N.CEL	Normal_41
GSM1527187_83_E250-Tp1_T.CEL	Tumor_42
GSM1527188_84_E250-Tn7_N.CEL	Normal_42
GSM1527189_85_E220-Tp1_T.CEL	Tumor_43
GSM1527190_86_E220-Tn7_N.CEL	Normal_43
GSM1527191_87_E229-Tp1_T.CEL	Tumor_44
GSM1527192_88_E229-Tn7_N.CEL	Normal_44
GSM1527193_89_E234-Tp1_T.CEL	Tumor_45
GSM1527194_90_E234-Tn7_N.CEL	Normal_45
GSM1527195_Hussain_02_6376_HuGene-1_0-st-v1_.CEL	Normal_46
GSM1527196_Hussain_05_9233_HuGene-1_0-st-v1_.CEL	Tumor_46
GSM1527197_Hussain_08_9727_HuGene-1_0-st-v1_.CEL	Normal_47
GSM1527198_Hussain_09_9728_HuGene-1_0-st-v1_.CEL	Tumor_47
GSM1527199_Hussain_11_14694_HuGene-1_0-st-v1_.CEL	Tumor_48
GSM1527200_Hussain_12_17529_HuGene-1_0-st-v1_.CEL	Tumor_49
GSM1527201_Hussain_13_17530_HuGene-1_0-st-v1_.CEL	Normal_48
GSM1527202_Hussain_14_17531_HuGene-1_0-st-v1_.CEL	Tumor_50
GSM1527203_Hussain_15_17797_HuGene-1_0-st-v1_.CEL	Normal_49
GSM1527204_Hussain_16_17798_HuGene-1_0-st-v1_.CEL	Tumor_51
GSM1527205_Hussain_17_18590_HuGene-1_0-st-v1_.CEL	Tumor_52
GSM1527206_Hussain_20_19926_HuGene-1_0-st-v1_.CEL	Normal_50
GSM1527207_Hussain_21_19927_HuGene-1_0-st-v1_.CEL	Tumor_53
GSM1527208_Hussain_24_22505_HuGene-1_0-st-v1_.CEL	Normal_51
GSM1527209_Hussain_25_22506_HuGene-1_0-st-v1_.CEL	Tumor_54
GSM1527210_Hussain_28_26172_HuGene-1_0-st-v1_.CEL	Tumor_55
GSM1527211_Hussain_29_26171_HuGene-1_0-st-v1_.CEL	Normal_52
GSM1527212_Hussain_30_26576_HuGene-1_0-st-v1_.CEL	Tumor_56
GSM1527213_Hussain_31_27775_HuGene-1_0-st-v1_.CEL	Tumor_57
GSM1527214_Hussain_32_27880_HuGene-1_0-st-v1_.CEL	Normal_53
GSM1527215_Hussain_33_27881_HuGene-1_0-st-v1_.CEL	Tumor_58
GSM1527216_Hussain_36_29102_HuGene-1_0-st-v1_.CEL	Tumor_59
GSM1527217_Hussain_37_29163_HuGene-1_0-st-v1_.CEL	Normal_54
GSM1527218_Hussain_38_29164_HuGene-1_0-st-v1_.CEL	Tumor_60
GSM1527219_Hussain_39_29261_HuGene-1_0-st-v1_.CEL	Tumor_61
GSM1527220_Hussain_40_29818_HuGene-1_0-st-v1_.CEL	Tumor_62
GSM1527221_Hussain_41_29819_HuGene-1_0-st-v1_.CEL	Normal_55
GSM1527222_Hussain_42_29826_HuGene-1_0-st-v1_.CEL	Normal_56
GSM1527223_Hussain_43_29827_HuGene-1_0-st-v1_.CEL	Tumor_63
GSM1527224_Hussain_44_31262_HuGene-1_0-st-v1_.CEL	Normal_57
GSM1527225_Hussain_45_31263_HuGene-1_0-st-v1_.CEL	Tumor_64
GSM1527226_Hussain_46_31392_HuGene-1_0-st-v1_.CEL	Normal_58
GSM1527227_Hussain_47_31393_HuGene-1_0-st-v1_.CEL	Tumor_65
GSM1527228_Hussain_48_32018_HuGene-1_0-st-v1_.CEL	Tumor_66
GSM1527229_Hussain_49_32019_HuGene-1_0-st-v1_.CEL	Normal_59
GSM1527230_Hussain_50_32175_HuGene-1_0-st-v1_.CEL	Tumor_67
GSM1527231_Hussain_55_34244_HuGene-1_0-st-v1_.CEL	Normal_60
GSM1527232_Hussain_56_34245_HuGene-1_0-st-v1_.CEL	Tumor_68
GSM1527233_Hussain_57_34434_HuGene-1_0-st-v1_.CEL	Normal_61
GSM1527234_Hussain_58_34435_HuGene-1_0-st-v1_.CEL	Tumor_69
